製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 11:09,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
1,0,0.0321,0.8804,-0.1735,,0
2,0.0607,0.045,0.8933,-0.2378,,0.0607
3,0.0297,0.045,0.8804,-0.2378,,0.0297
4,0.0322,0.0193,0.8933,-0.2506,,0.0322
5,0.0262,0.0321,0.8933,-0.2378,,0.0262
6,0.0402,0.045,0.8933,-0.2378,,0.0402
7,0.0467,0.045,0.9061,-0.2249,,0.0467
8,0.0798,0.045,0.8933,-0.2249,,0.0798
9,0.0867,0.045,0.8933,-0.2635,,0.0867
10,0.0793,0.045,0.8804,-0.2249,,0.0793
11,0.0732,0.045,0.8804,-0.2249,,0.0732
12,0.0551,0.045,0.8804,-0.2378,,0.0551
13,0.0522,0.0321,0.8804,-0.2249,,0.0522
14,0.0558,0.0193,0.8933,-0.2249,,0.0558
15,0.0258,0.0321,0.8933,-0.2635,,0.0258
16,0.0328,0.045,0.8804,-0.2249,,0.0328
17,0.0395,0.045,0.8804,-0.2378,,0.0395
18,0.0614,0.0321,0.8804,-0.2249,,0.0614
19,0.0532,0.0578,0.8804,-0.2506,,0.0532
20,0.0094,0.0321,0.8933,-0.2249,,0.0094
21,-0.0127,0.0321,0.8933,-0.2121,,0.0127
22,-0.0226,0.0321,0.9061,-0.2249,,0.0226
23,-0.0341,0.045,0.9061,-0.2249,,0.0341
24,0.0042,0.045,0.8933,-0.2378,,0.0042
25,0.0609,0.0321,0.8933,-0.2378,,0.0609
26,0.1059,0.045,0.8804,-0.2121,,0.1059
27,0.1837,0.045,0.8804,-0.2249,,0.1837
28,0.1666,0.0193,0.8933,-0.2249,,0.1666
29,0.1755,0.0193,0.8933,-0.2121,,0.1755
30,0.1032,0.0193,0.8933,-0.2378,,0.1032
31,0.0568,0.0321,0.8804,-0.2378,,0.0568
32,0.0508,0.045,0.8804,-0.2121,,0.0508
33,-0.0047,0.0321,0.8804,-0.2506,,0.0047
34,-0.0124,0.0321,0.8804,-0.1992,,0.0124
35,-0.0207,0.0193,0.8933,-0.2249,,0.0207
36,0.0207,0.0193,0.8933,-0.2249,,0.0207
37,0.0423,0.045,0.8933,-0.2249,,0.0423
38,0.0807,0.0321,0.8933,-0.2249,,0.0807
39,0.0683,0.0321,0.8804,-0.2378,,0.0683
40,0.0457,0.0321,0.8804,-0.2378,,0.0457
41,0.0357,0.0321,0.8804,-0.2249,,0.0357
42,0.0029,0.045,0.8804,-0.2378,,0.0029
43,-0.0182,0.0321,0.8933,-0.2378,,0.0182
44,-0.0057,0.0321,0.8933,-0.2378,,0.0057
45,0.019,0.0064,0.8804,-0.2378,,0.019
46,0.0513,0.0321,0.8933,-0.2506,,0.0513
47,0.0303,0.0193,0.8804,-0.2378,,0.0303
48,0.0574,0.0321,0.8804,-0.2378,,0.0574
49,0.0954,0.045,0.8804,-0.2506,,0.0954
50,0.1044,0.0321,0.8933,-0.2635,,0.1044
51,0.1107,0.0321,0.9061,-0.2249,,0.1107
52,0.1009,0.0321,0.9061,-0.2378,,0.1009
53,0.1066,0.0321,0.9061,-0.2121,,0.1066
54,0.0865,0.0193,0.8933,-0.2378,,0.0865
55,0.05,0.0321,0.9061,-0.2378,,0.05
56,0.0104,0.0193,0.8804,-0.2378,,0.0104
57,0.0144,0.0321,0.9061,-0.2121,,0.0144
58,0.0523,0.0321,0.8933,-0.2506,,0.0523
59,0.0401,0.0321,0.8933,-0.2249,,0.0401
60,0.0457,-0.0064,0.8933,-0.2121,,0.0457
61,0.0396,0.0321,0.8933,-0.2249,,0.0396
62,0.0351,0.0193,0.9061,-0.2249,,0.0351
63,0.075,0.0321,0.9061,-0.2378,,0.075
64,0.0788,0.0321,0.8933,-0.2249,,0.0788
65,0.0858,0.0321,0.9061,-0.2378,,0.0858
66,0.1277,0.0193,0.8933,-0.2378,,0.1277
67,0.1137,0.0321,0.9061,-0.2121,,0.1137
68,0.0927,0.0321,0.919,-0.2121,,0.0927
69,0.0631,0.0321,0.919,-0.2378,,0.0631
70,0.0155,0.0321,0.919,-0.2249,,0.0155
71,-0.0223,0.0321,0.8933,-0.2249,,0.0223
72,-0.038,0.0321,0.9061,-0.2378,,0.038
73,-0.0221,0.0321,0.8933,-0.2249,,0.0221
74,-0.0008,0.0321,0.9061,-0.2506,,0.0008
75,0.0357,0.0193,0.9061,-0.2249,,0.0357
76,0.0853,0.0193,0.9061,-0.2121,,0.0853
77,0.0789,0.0193,0.8933,-0.2378,,0.0789
78,0.0804,0.0193,0.9061,-0.2378,,0.0804
79,0.0604,0.045,0.8933,-0.2249,,0.0604
80,0.0544,0.0321,0.8933,-0.2249,,0.0544
81,0.0387,0.0321,0.8933,-0.2249,,0.0387
82,0.031,0.0321,0.919,-0.2249,,0.031
83,-0.0155,0.0193,0.919,-0.1992,,0.0155
84,-0.0676,0.0321,0.9061,-0.2249,,0.0676
85,-0.0816,0.0321,0.919,-0.2249,,0.0816
86,-0.1006,0.0193,0.919,-0.2378,,0.1006
87,-0.0631,0.0321,0.9061,-0.2249,,0.0631
88,-0.0241,0.045,0.9061,-0.2378,,0.0241
