製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:10,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.2892,0.8804,-0.2378,,0
2,0.0656,0.3277,0.8676,-0.3406,,0.0656
3,-0.1028,0.3277,0.8676,-0.3663,,0.1028
4,-0.1638,0.3406,0.8547,-0.3663,,0.1638
5,-0.1712,0.3406,0.8547,-0.3663,,0.1712
6,-0.1819,0.3277,0.8547,-0.3663,,0.1819
7,-0.2493,0.3277,0.8547,-0.3406,,0.2493
8,-0.1525,0.3277,0.8676,-0.3406,,0.1525
9,-0.0486,0.3277,0.8676,-0.3406,,0.0486
10,-0.0866,0.3277,0.8676,-0.3277,,0.0866
11,-0.0078,0.3406,0.8676,-0.3663,,0.0078
12,0.0788,0.3277,0.8547,-0.3406,,0.0788
13,0.0693,0.3406,0.8676,-0.3534,,0.0693
14,0.0907,0.3534,0.8676,-0.3149,,0.0907
15,0.1413,0.3406,0.8547,-0.3277,,0.1413
16,0.1455,0.3277,0.8547,-0.3406,,0.1455
17,0.1497,0.3406,0.8676,-0.3277,,0.1497
18,0.1395,0.3149,0.8547,-0.3406,,0.1395
19,0.137,0.3406,0.8418,-0.3534,,0.137
20,0.161,0.3534,0.8547,-0.3277,,0.161
21,0.1449,0.3534,0.8547,-0.3406,,0.1449
22,0.146,0.3406,0.8547,-0.3406,,0.146
23,0.1397,0.3406,0.8547,-0.3277,,0.1397
24,0.1449,0.3534,0.8676,-0.3277,,0.1449
25,0.1323,0.3277,0.8547,-0.3534,,0.1323
26,0.1239,0.3534,0.8547,-0.3277,,0.1239
27,0.1229,0.3663,0.8547,-0.3534,,0.1229
28,0.1233,0.3534,0.8547,-0.3277,,0.1233
29,0.105,0.3534,0.8418,-0.3406,,0.105
30,0.0787,0.3534,0.8418,-0.3277,,0.0787
31,0.0876,0.3406,0.8418,-0.3277,,0.0876
32,0.1197,0.3406,0.8418,-0.3534,,0.1197
33,0.1592,0.3277,0.8547,-0.3277,,0.1592
34,0.1523,0.3406,0.8418,-0.3663,,0.1523
35,0.1022,0.3663,0.8547,-0.3406,,0.1022
36,0.2292,0.3534,0.8418,-0.3534,,0.2292
37,0.5005,0.3534,0.8418,-0.3534,,0.5005
38,0.5344,0.3406,0.8547,-0.3406,,0.5344
39,0.4571,0.3406,0.8547,-0.3406,,0.4571
40,0.3735,0.3534,0.8547,-0.3406,,0.3735
41,0.1272,0.3534,0.8547,-0.3277,,0.1272
42,-0.2381,0.3534,0.8547,-0.3406,,0.2381
43,-0.4964,0.3406,0.8418,-0.3406,,0.4964
44,-0.4397,0.3406,0.8418,-0.3534,,0.4397
45,-0.3478,0.3534,0.8547,-0.3277,,0.3478
46,-0.2408,0.3534,0.8547,-0.3534,,0.2408
47,-0.0639,0.3277,0.8676,-0.3406,,0.0639
48,0.0261,0.3277,0.8547,-0.3663,,0.0261
49,0.0654,0.3406,0.8547,-0.3277,,0.0654
50,0.0836,0.3406,0.8547,-0.3277,,0.0836
51,0.1608,0.3406,0.8676,-0.3534,,0.1608
52,0.1817,0.3406,0.8676,-0.3406,,0.1817
53,0.1408,0.3406,0.8547,-0.3663,,0.1408
54,0.1489,0.3406,0.8547,-0.3149,,0.1489
55,0.0628,0.3277,0.8676,-0.3277,,0.0628
56,0.0357,0.3406,0.8676,-0.3534,,0.0357
57,0.2098,0.3406,0.8676,-0.3277,,0.2098
58,0.3138,0.3277,0.8676,-0.3406,,0.3138
59,0.614,0.3277,0.8676,-0.3534,,0.614
60,0.7992,0.3406,0.8676,-0.3406,,0.7992
61,0.9446,0.3277,0.8676,-0.3534,,0.9446
62,0.9488,0.3277,0.8676,-0.3663,,0.9488
63,0.8084,0.3792,0.8547,-0.3534,,0.8084
64,0.3404,0.3277,0.8547,-0.3406,,0.3404
65,-0.0971,0.3149,0.8676,-0.3534,,0.0971
66,-0.0892,0.3277,0.8547,-0.3277,,0.0892
67,-0.2074,0.3406,0.8676,-0.3277,,0.2074
68,-0.5322,0.3149,0.8676,-0.3534,,0.5322
69,-0.8438,0.3149,0.8547,-0.3534,,0.8438
70,-1.1742,0.3149,0.8676,-0.3534,,1.1742
71,-1.1789,0.3149,0.8804,-0.3663,,1.1789
72,-0.9854,0.3149,0.8676,-0.3277,,0.9854
73,-0.697,0.3277,0.8676,-0.3534,,0.697
74,-0.326,0.3277,0.8547,-0.3406,,0.326
75,-0.1165,0.3149,0.8547,-0.3663,,0.1165
76,-0.1107,0.3277,0.8547,-0.3406,,0.1107
77,-0.0684,0.3149,0.8547,-0.3149,,0.0684
78,-0.0312,0.302,0.8547,-0.3406,,0.0312
79,0.0241,0.3277,0.8418,-0.3406,,0.0241
80,0.0847,0.3149,0.8547,-0.3663,,0.0847
81,0.1195,0.3277,0.8547,-0.3534,,0.1195
82,0.157,0.3406,0.8547,-0.3534,,0.157
83,0.1504,0.3406,0.8418,-0.3534,,0.1504
84,0.1382,0.3406,0.8418,-0.3406,,0.1382
85,0.2525,0.3406,0.8418,-0.3534,,0.2525
86,0.3128,0.3406,0.8547,-0.3277,,0.3128
87,0.3236,0.3277,0.8547,-0.3406,,0.3236
88,0.2767,0.3406,0.8418,-0.3406,,0.2767
89,0.3106,0.3406,0.8418,-0.3534,,0.3106
90,0.4604,0.3406,0.829,-0.3792,,0.4604
91,0.5407,0.3277,0.829,-0.3534,,0.5407
92,0.6194,0.3149,0.829,-0.3534,,0.6194
93,0.6272,0.392,0.829,-0.3406,,0.6272
94,0.5872,0.3277,0.829,-0.3534,,0.5872
95,0.4122,0.3149,0.829,-0.3534,,0.4122
96,-0.097,0.3277,0.829,-0.3406,,0.097
97,-0.5947,0.3149,0.8418,-0.3406,,0.5947
98,-0.5998,0.3277,0.829,-0.3534,,0.5998
99,-0.6258,0.3149,0.829,-0.3534,,0.6258
100,-0.6246,0.3277,0.8418,-0.3663,,0.6246
101,-0.4703,0.302,0.8418,-0.3534,,0.4703
102,-0.3393,0.3149,0.8547,-0.3406,,0.3393
103,0.0146,0.302,0.8418,-0.3534,,0.0146
104,0.1189,0.3149,0.829,-0.3663,,0.1189
105,0.0513,0.3149,0.8418,-0.3534,,0.0513
106,0.0232,0.3277,0.8418,-0.3406,,0.0232
107,-0.0163,0.3277,0.8418,-0.3534,,0.0163
108,0.013,0.3149,0.8547,-0.3663,,0.013
109,0.1094,0.3149,0.8418,-0.3534,,0.1094
110,0.1145,0.302,0.8418,-0.3534,,0.1145
111,0.1764,0.302,0.8547,-0.3663,,0.1764
112,0.2364,0.3149,0.8418,-0.3534,,0.2364
113,0.4771,0.3277,0.8418,-0.3663,,0.4771
114,0.6369,0.3277,0.829,-0.3534,,0.6369
115,0.5057,0.3149,0.8418,-0.3792,,0.5057
116,0.2327,0.3406,0.8547,-0.3534,,0.2327
117,-0.0316,0.3149,0.8676,-0.3534,,0.0316
118,-0.31,0.3792,0.8676,-0.3406,,0.31
119,-0.5368,0.3149,0.8676,-0.3792,,0.5368
120,-0.4877,0.3277,0.8547,-0.3534,,0.4877
121,-0.3629,0.3149,0.8418,-0.3792,,0.3629
122,-0.17,0.3277,0.8547,-0.3663,,0.17
123,0.0193,0.3277,0.8547,-0.3534,,0.0193
124,0.0672,0.3149,0.8547,-0.392,,0.0672
125,0.0535,0.3277,0.8547,-0.3792,,0.0535
126,0.0869,0.3277,0.8676,-0.3534,,0.0869
127,0.1401,0.3277,0.8547,-0.3663,,0.1401
128,0.1822,0.3406,0.8676,-0.3663,,0.1822
129,0.1279,0.3406,0.8418,-0.3663,,0.1279
130,0.0446,0.3277,0.8676,-0.3663,,0.0446
131,0.0004,0.3406,0.8676,-0.3663,,0.0004
132,0.0233,0.3149,0.8804,-0.3406,,0.0233
133,0.0268,0.3277,0.8676,-0.3406,,0.0268
134,0.0539,0.3534,0.8676,-0.3406,,0.0539
135,0.0774,0.3406,0.8676,-0.3534,,0.0774
136,0.1298,0.3406,0.8676,-0.3534,,0.1298
137,0.1484,0.3534,0.8547,-0.3534,,0.1484
138,0.1121,0.3534,0.8547,-0.3406,,0.1121
139,0.1387,0.3534,0.8676,-0.3406,,0.1387
140,0.2099,0.3406,0.8547,-0.3663,,0.2099
141,0.2752,0.3406,0.8547,-0.3406,,0.2752
142,0.303,0.3534,0.8676,-0.3534,,0.303
143,0.2878,0.3534,0.8547,-0.392,,0.2878
144,0.1964,0.3663,0.8676,-0.3663,,0.1964
145,0.1255,0.3663,0.8547,-0.3663,,0.1255
146,0.0105,0.3534,0.8547,-0.3663,,0.0105
147,-0.0449,0.3534,0.8547,-0.3663,,0.0449
148,-0.0795,0.3277,0.8676,-0.3277,,0.0795
149,-0.0918,0.3663,0.8547,-0.3663,,0.0918
150,-0.1036,0.3534,0.8676,-0.3406,,0.1036
151,-0.0775,0.3663,0.8547,-0.3663,,0.0775
152,0.04,0.3663,0.8547,-0.3663,,0.04
153,0.151,0.3663,0.8418,-0.3277,,0.151
154,0.2132,0.3663,0.8547,-0.3663,,0.2132
155,0.2016,0.3534,0.8547,-0.392,,0.2016
156,0.1136,0.3406,0.8418,-0.3663,,0.1136
157,0.0288,0.3663,0.8676,-0.3534,,0.0288
158,0.0051,0.3406,0.8418,-0.3534,,0.0051
159,0.0643,0.3663,0.8547,-0.3534,,0.0643
160,0.1923,0.3663,0.8418,-0.3663,,0.1923
161,0.5115,0.3663,0.8418,-0.3534,,0.5115
162,0.8725,0.3534,0.8547,-0.3663,,0.8725
163,0.9652,0.3534,0.8547,-0.3792,,0.9652
164,0.8934,0.3663,0.8547,-0.3663,,0.8934
165,0.7131,0.3663,0.8547,-0.3792,,0.7131
166,0.454,0.3534,0.8547,-0.3406,,0.454
167,-0.1411,0.3663,0.8547,-0.3534,,0.1411
168,-0.5518,0.3663,0.8547,-0.3792,,0.5518
169,-0.6543,0.3534,0.8547,-0.3406,,0.6543
170,-0.6967,0.3534,0.8547,-0.3406,,0.6967
171,-0.8438,0.3406,0.8547,-0.3663,,0.8438
172,-0.9125,0.3534,0.8547,-0.3534,,0.9125
173,-0.6577,0.3406,0.8418,-0.3406,,0.6577
174,-0.5166,0.3534,0.8547,-0.3663,,0.5166
175,-0.4165,0.3663,0.8547,-0.3663,,0.4165
176,-0.2652,0.3534,0.8676,-0.3534,,0.2652
177,-0.2415,0.3406,0.8418,-0.3663,,0.2415
178,-0.1881,0.4049,0.8547,-0.3534,,0.1881
179,-0.0801,0.3534,0.8547,-0.3534,,0.0801
180,-0.0266,0.3406,0.8676,-0.3663,,0.0266
181,0.0292,0.3534,0.8676,-0.3406,,0.0292
182,0.0888,0.3663,0.8547,-0.3406,,0.0888
183,0.2001,0.3534,0.8547,-0.3534,,0.2001
184,0.2511,0.3663,0.8676,-0.3277,,0.2511
185,0.2728,0.3406,0.8418,-0.3406,,0.2728
186,0.4198,0.3406,0.8418,-0.3663,,0.4198
187,0.4732,0.3534,0.8418,-0.3663,,0.4732
188,0.4903,0.3406,0.8418,-0.3663,,0.4903
189,0.3914,0.3534,0.829,-0.3792,,0.3914
190,0.2129,0.3534,0.8418,-0.3534,,0.2129
191,0.077,0.3534,0.8418,-0.3663,,0.077
192,-0.0053,0.3406,0.8418,-0.3792,,0.0053
193,-0.0669,0.3406,0.8418,-0.3792,,0.0669
194,-0.0632,0.3534,0.8547,-0.3406,,0.0632
195,-0.0559,0.3406,0.8418,-0.3663,,0.0559
196,-0.0168,0.3406,0.8418,-0.3406,,0.0168
197,-0.1291,0.3534,0.829,-0.3534,,0.1291
198,-0.1136,0.3406,0.829,-0.3663,,0.1136
199,-0.1209,0.3406,0.8418,-0.3663,,0.1209
200,-0.2378,0.3534,0.8418,-0.3534,,0.2378
201,-0.2434,0.3406,0.8418,-0.3663,,0.2434
202,-0.1636,0.3277,0.8418,-0.3534,,0.1636
203,0.0379,0.3792,0.829,-0.3534,,0.0379
204,0.2876,0.3406,0.829,-0.3663,,0.2876
205,0.5414,0.3406,0.829,-0.3792,,0.5414
206,0.6309,0.3534,0.829,-0.3534,,0.6309
207,0.7875,0.3534,0.8418,-0.3406,,0.7875
208,0.739,0.3277,0.8418,-0.3534,,0.739
209,0.3404,0.3406,0.8418,-0.3406,,0.3404
210,-0.0031,0.3406,0.8418,-0.3406,,0.0031
211,-0.2764,0.3406,0.8418,-0.3277,,0.2764
212,-0.5088,0.3277,0.8418,-0.3534,,0.5088
