製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.0193,0.8804,-0.4306,,0
2,0.1317,0.0321,0.8676,-0.4049,,0.1317
3,0.1002,0.0321,0.8804,-0.4691,,0.1002
4,0.0751,0.045,0.8804,-0.4306,,0.0751
5,0.0162,0.045,0.8804,-0.4306,,0.0162
6,0.0027,0.0321,0.8676,-0.4177,,0.0027
7,0.0195,0.0321,0.8804,-0.4049,,0.0195
8,-0.0008,0.045,0.8676,-0.4049,,0.0008
9,0.0174,0.045,0.8804,-0.4177,,0.0174
10,-0.0343,0.045,0.8804,-0.4177,,0.0343
11,-0.1121,0.045,0.8804,-0.4434,,0.1121
12,-0.0794,0.045,0.8676,-0.4563,,0.0794
13,-0.0335,0.045,0.8547,-0.4434,,0.0335
14,0.0312,0.0578,0.8676,-0.4306,,0.0312
15,0.0494,0.045,0.8676,-0.4177,,0.0494
16,0.0865,0.0321,0.8804,-0.4306,,0.0865
17,0.149,0.045,0.8804,-0.4434,,0.149
18,0.1218,0.0964,0.8804,-0.4434,,0.1218
19,0.1074,0.0707,0.8676,-0.4306,,0.1074
20,0.0812,0.0578,0.8676,-0.4434,,0.0812
21,0.053,0.0578,0.8804,-0.4563,,0.053
22,0.0072,0.0578,0.8804,-0.4563,,0.0072
23,0.0434,0.0321,0.8676,-0.4434,,0.0434
24,0.0695,0.045,0.8804,-0.4306,,0.0695
25,0.0596,0.045,0.8804,-0.4306,,0.0596
26,-0.0182,0.045,0.8804,-0.4434,,0.0182
27,-0.017,0.0578,0.8804,-0.4177,,0.017
28,-0.0259,0.045,0.8547,-0.4434,,0.0259
29,0.081,0.045,0.8676,-0.4691,,0.081
30,0.1054,0.045,0.8676,-0.4177,,0.1054
31,0.1148,0.045,0.8933,-0.4434,,0.1148
32,0.1441,0.0193,0.8676,-0.4306,,0.1441
33,0.161,0.0707,0.8676,-0.4306,,0.161
34,0.1314,0.0578,0.8676,-0.4434,,0.1314
35,0.0264,0.045,0.8933,-0.4434,,0.0264
36,-0.0519,0.0321,0.8804,-0.4691,,0.0519
37,-0.0815,0.0321,0.8804,-0.4563,,0.0815
38,-0.0789,0.0321,0.8804,-0.4434,,0.0789
39,-0.0878,0.0321,0.8804,-0.4434,,0.0878
40,0.0661,0.0321,0.8804,-0.4434,,0.0661
41,0.1431,0.0321,0.8933,-0.4306,,0.1431
42,0.1365,0.0321,0.8933,-0.4306,,0.1365
43,0.0442,0.045,0.8804,-0.4306,,0.0442
44,0.0858,0.0321,0.8676,-0.4563,,0.0858
45,0.1175,0.0321,0.8676,-0.4434,,0.1175
46,0.1072,0.0321,0.8804,-0.4434,,0.1072
47,0.0885,0.045,0.8804,-0.4306,,0.0885
48,0.0306,0.0193,0.8547,-0.4434,,0.0306
49,0.0232,0.0578,0.8676,-0.4563,,0.0232
