製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 11:49,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
1,0,0.2249,0.8418,-0.5205,,0
2,0.0078,0.2635,0.8547,-0.4691,,0.0078
3,0.0295,0.2635,0.8547,-0.4691,,0.0295
4,0.0786,0.2506,0.8547,-0.4691,,0.0786
5,0.1002,0.2506,0.8547,-0.4691,,0.1002
6,0.1054,0.2635,0.8418,-0.4563,,0.1054
7,0.098,0.2506,0.8418,-0.4691,,0.098
8,0.0859,0.2635,0.8547,-0.4691,,0.0859
9,0.031,0.2635,0.8418,-0.4691,,0.031
10,0.0297,0.2506,0.8418,-0.4691,,0.0297
11,0.0246,0.2635,0.8418,-0.4563,,0.0246
12,0.0224,0.2635,0.8418,-0.482,,0.0224
13,0.0225,0.2635,0.8547,-0.482,,0.0225
14,0.0108,0.2635,0.8547,-0.4691,,0.0108
15,0.0235,0.2635,0.8547,-0.4563,,0.0235
16,0.0283,0.2635,0.8547,-0.482,,0.0283
17,0.0535,0.2763,0.8547,-0.4691,,0.0535
18,0.0492,0.2506,0.829,-0.4948,,0.0492
19,0.0722,0.2635,0.829,-0.482,,0.0722
20,0.0567,0.2506,0.8418,-0.4691,,0.0567
21,0.18,0.2506,0.8418,-0.4563,,0.18
22,0.2328,0.2506,0.8418,-0.482,,0.2328
23,0.2232,0.2506,0.8418,-0.482,,0.2232
24,0.2517,0.2635,0.8418,-0.4691,,0.2517
25,0.2068,0.2635,0.8547,-0.4691,,0.2068
26,0.1269,0.2635,0.8418,-0.4948,,0.1269
27,0.0363,0.2635,0.8418,-0.5077,,0.0363
28,-0.0441,0.2506,0.8418,-0.4563,,0.0441
29,-0.076,0.2635,0.8547,-0.4691,,0.076
30,-0.0665,0.2635,0.8547,-0.482,,0.0665
31,0.0254,0.2635,0.8418,-0.482,,0.0254
32,0.0601,0.2763,0.8418,-0.4691,,0.0601
33,0.0415,0.3149,0.8418,-0.482,,0.0415
34,0.0577,0.2763,0.8418,-0.482,,0.0577
35,0.0301,0.2506,0.8547,-0.482,,0.0301
36,-0.0021,0.2635,0.8418,-0.482,,0.0021
37,-0.0281,0.2506,0.8418,-0.4691,,0.0281
38,-0.0547,0.2635,0.8547,-0.4691,,0.0547
39,-0.0622,0.2635,0.8418,-0.4948,,0.0622
40,-0.053,0.2763,0.8547,-0.482,,0.053
41,-0.0558,0.2763,0.8547,-0.482,,0.0558
42,-0.0098,0.2763,0.829,-0.4948,,0.0098
43,0.0193,0.2635,0.8418,-0.482,,0.0193
44,0.0545,0.2635,0.8547,-0.4691,,0.0545
45,0.0624,0.2506,0.8547,-0.4691,,0.0624
46,0.0755,0.2635,0.8418,-0.4691,,0.0755
47,0.0636,0.2635,0.8547,-0.4948,,0.0636
48,0.0475,0.3149,0.8418,-0.4691,,0.0475
49,0.0232,0.2763,0.8418,-0.482,,0.0232
50,0.1478,0.2635,0.8418,-0.482,,0.1478
51,0.1403,0.2506,0.8418,-0.4948,,0.1403
52,0.131,0.2506,0.829,-0.482,,0.131
53,0.0705,0.2506,0.829,-0.4691,,0.0705
54,0.023,0.2763,0.8418,-0.482,,0.023
55,0.0182,0.2506,0.8418,-0.482,,0.0182
56,-0.0116,0.2506,0.8418,-0.482,,0.0116
57,-0.0203,0.2506,0.829,-0.4691,,0.0203
58,-0.0217,0.2635,0.8418,-0.4948,,0.0217
59,0.0003,0.2506,0.8418,-0.4948,,0.0003
60,0.0206,0.2635,0.8547,-0.4691,,0.0206
61,0.0237,0.2506,0.8547,-0.4691,,0.0237
62,0.0195,0.2635,0.8418,-0.482,,0.0195
63,0.0112,0.2506,0.829,-0.4691,,0.0112
64,0.0479,0.2635,0.829,-0.5077,,0.0479
65,0.0669,0.2635,0.829,-0.4691,,0.0669
66,0.0676,0.2635,0.8547,-0.482,,0.0676
67,0.0724,0.2635,0.8418,-0.482,,0.0724
68,0.0573,0.2506,0.8418,-0.4948,,0.0573
69,0.0618,0.2635,0.8547,-0.4948,,0.0618
70,0.0991,0.2506,0.8418,-0.4948,,0.0991
71,0.114,0.2635,0.8418,-0.482,,0.114
72,0.2552,0.2506,0.829,-0.482,,0.2552
73,0.2832,0.2763,0.8418,-0.482,,0.2832
74,0.2517,0.2635,0.8418,-0.482,,0.2517
75,0.1845,0.2635,0.8547,-0.4691,,0.1845
76,0.1059,0.2506,0.8418,-0.4691,,0.1059
