製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 11:47 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.3149,   0.5205,  -0.5719
         2,   0.0368,  -0.6876,   0.5719,  -0.1864
         3,   0.0189,  -0.7005,   0.5591,  -0.1864
         4,   0.0192,  -0.7005,   0.5591,  -0.1864
         5,   0.0207,  -0.7005,   0.5719,  -0.1607
         6,   0.0137,  -0.7005,   0.5719,  -0.1607
         7,   0.0040,  -0.6876,   0.5848,  -0.1478
         8,  -0.0219,  -0.7005,   0.5719,  -0.1607
         9,  -0.0107,  -0.7005,   0.5591,  -0.1864
        10,   0.0035,  -0.6876,   0.5591,  -0.1864
        11,  -0.0020,  -0.6876,   0.5591,  -0.1607
        12,  -0.0020,  -0.7005,   0.5719,  -0.1864
        13,   0.0005,  -0.7005,   0.5591,  -0.1607
        14,   0.0071,  -0.7005,   0.5719,  -0.1607
        15,   0.0057,  -0.7005,   0.5591,  -0.1607
        16,   0.0089,  -0.7005,   0.5591,  -0.1735
        17,   0.0155,  -0.7005,   0.5591,  -0.1607
        18,  -0.0001,  -0.7005,   0.5462,  -0.1864
        19,   0.0049,  -0.6876,   0.5591,  -0.1735
        20,   0.0049,  -0.7005,   0.5591,  -0.1864
        21,  -0.0029,  -0.7005,   0.5591,  -0.1864
        22,   0.0006,  -0.6876,   0.5719,  -0.1607
        23,  -0.0122,  -0.6876,   0.5591,  -0.1735
        24,   0.0208,  -0.6876,   0.5719,  -0.1735
        25,   0.0130,  -0.6876,   0.5719,  -0.1864
        26,   0.0100,  -0.7005,   0.5591,  -0.1864
        27,   0.0093,  -0.6876,   0.5591,  -0.1864
        28,   0.0285,  -0.7005,   0.5591,  -0.1735
        29,   0.0301,  -0.7005,   0.5719,  -0.1735
        30,   0.0054,  -0.7005,   0.5719,  -0.1864
        31,   0.0234,  -0.7005,   0.5591,  -0.1864
        32,   0.0275,  -0.7005,   0.5462,  -0.1864
        33,   0.0393,  -0.7005,   0.5591,  -0.1735
        34,   0.0213,  -0.6876,   0.5591,  -0.1735
        35,   0.0349,  -0.6876,   0.5591,  -0.1735
        36,   0.0333,  -0.7005,   0.5591,  -0.1735
        37,   0.0407,  -0.7005,   0.5719,  -0.1607
