製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,3 ,
計測開始時刻 ,18/02/27 12:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,      6851 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,  -0.4177,   0.5591,  -0.7390
         2,   0.0357,  -0.3020,   0.8804,   0.0193
         3,   0.0325,  -0.2892,   0.8676,  -0.0193
         4,   0.0101,  -0.3020,   0.8804,   0.0193
         5,   0.0290,  -0.3020,   0.8676,   0.0064
         6,   0.0211,  -0.3020,   0.8676,   0.0193
         7,   0.0272,  -0.3020,   0.8804,   0.0321
         8,   0.0212,  -0.2892,   0.8676,  -0.0064
         9,   0.0255,  -0.3020,   0.8676,  -0.0064
        10,   0.0336,  -0.3020,   0.8547,  -0.0064
        11,   0.0201,  -0.3020,   0.8547,  -0.0064
        12,   0.0393,  -0.3020,   0.8547,  -0.0193
        13,   0.0076,  -0.3020,   0.8676,   0.0193
        14,   0.0218,  -0.3149,   0.8418,  -0.0193
        15,   0.0093,  -0.3020,   0.8418,  -0.0064
        16,   0.0048,  -0.3020,   0.8418,  -0.0193
        17,   0.0136,  -0.2892,   0.8547,  -0.0193
        18,   0.0048,  -0.2378,   0.8418,  -0.0450
        19,   0.0090,  -0.2892,   0.8290,  -0.0321
        20,   0.0188,  -0.2892,   0.8418,  -0.0450
        21,   0.0168,  -0.2892,   0.8290,  -0.0064
        22,   0.0153,  -0.2892,   0.8418,  -0.0064
        23,   0.0031,  -0.3020,   0.8161,  -0.0193
        24,   0.0092,  -0.2763,   0.8161,  -0.0064
        25,   0.0141,  -0.2892,   0.8033,  -0.0450
        26,   0.0267,  -0.2763,   0.7904,  -0.0193
        27,   0.0163,  -0.2892,   0.8033,  -0.0193
        28,   0.0266,  -0.2763,   0.8161,  -0.0193
        29,   0.0219,  -0.3020,   0.8033,  -0.0193
        30,   0.0131,  -0.2763,   0.8033,  -0.0064
