製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,3,,,,,
計測開始時刻 ,2018/2/27 11:08,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,EMG絶対値
1,0,0.4306,0.7904,-0.1607,,0
2,0.0429,0.3663,0.8161,-0.135,,0.0429
3,0.0486,0.3534,0.8161,-0.1092,,0.0486
4,0.0409,0.3534,0.8161,-0.1221,,0.0409
5,0.0287,0.3534,0.8033,-0.0964,,0.0287
6,0.0379,0.3534,0.8161,-0.1092,,0.0379
7,0.0364,0.3663,0.8161,-0.1092,,0.0364
8,0.0374,0.3406,0.8161,-0.1221,,0.0374
9,0.0417,0.3663,0.8161,-0.1478,,0.0417
10,0.0305,0.3534,0.829,-0.135,,0.0305
11,0.0265,0.3534,0.8161,-0.135,,0.0265
12,0.023,0.3534,0.8161,-0.1221,,0.023
13,0.0032,0.3534,0.8161,-0.1092,,0.0032
14,0.0123,0.3277,0.8161,-0.1221,,0.0123
15,0.0224,0.3534,0.8161,-0.1092,,0.0224
16,0.0057,0.3534,0.8033,-0.1221,,0.0057
17,0.0015,0.3663,0.8161,-0.1221,,0.0015
18,0.0155,0.4049,0.8161,-0.1092,,0.0155
19,-0.0019,0.3663,0.8033,-0.135,,0.0019
20,-0.0131,0.3406,0.8161,-0.1221,,0.0131
21,-0.0134,0.3534,0.8033,-0.135,,0.0134
22,0.0209,0.3406,0.829,-0.1221,,0.0209
23,0.0841,0.3406,0.829,-0.135,,0.0841
24,0.0849,0.3534,0.829,-0.1478,,0.0849
25,0.0616,0.3534,0.829,-0.1092,,0.0616
26,0.0588,0.3534,0.8161,-0.1221,,0.0588
27,0.0661,0.3534,0.8161,-0.135,,0.0661
28,0.0611,0.3534,0.8161,-0.135,,0.0611
29,0.0369,0.3406,0.8161,-0.1478,,0.0369
30,0.0252,0.3406,0.8161,-0.1092,,0.0252
31,0.0166,0.3534,0.8161,-0.135,,0.0166
32,0.0164,0.3406,0.8033,-0.1221,,0.0164
33,0.0015,0.3534,0.8161,-0.135,,0.0015
34,0.0034,0.3534,0.8033,-0.1221,,0.0034
35,-0.0149,0.3534,0.8161,-0.1221,,0.0149
36,-0.0173,0.3406,0.8161,-0.1478,,0.0173
37,-0.0072,0.3534,0.829,-0.135,,0.0072
38,-0.0036,0.3406,0.8418,-0.1221,,0.0036
39,-0.0155,0.3406,0.829,-0.1221,,0.0155
40,-0.0075,0.3663,0.829,-0.1221,,0.0075
41,-0.0071,0.3534,0.8161,-0.1092,,0.0071
42,0.0038,0.3534,0.8161,-0.135,,0.0038
43,0.0346,0.3534,0.8161,-0.135,,0.0346
44,0.0585,0.3406,0.8161,-0.1221,,0.0585
45,0.0745,0.3406,0.8161,-0.1092,,0.0745
46,0.0783,0.3534,0.829,-0.1092,,0.0783
47,0.0907,0.3534,0.8161,-0.135,,0.0907
48,0.0832,0.3406,0.8033,-0.135,,0.0832
49,0.0922,0.3534,0.8161,-0.135,,0.0922
50,0.0471,0.3663,0.8161,-0.1221,,0.0471
51,0.0287,0.3406,0.8033,-0.1221,,0.0287
52,0.027,0.3534,0.8161,-0.1092,,0.027
53,0.0284,0.3663,0.8161,-0.1221,,0.0284
54,0.0208,0.3406,0.8161,-0.0964,,0.0208
55,0.0042,0.3663,0.8161,-0.0835,,0.0042
56,0.0156,0.3534,0.8161,-0.135,,0.0156
57,0.0074,0.3663,0.8033,-0.1221,,0.0074
58,-0.0185,0.3663,0.8033,-0.1607,,0.0185
59,-0.005,0.3534,0.8161,-0.135,,0.005
60,-0.0094,0.3534,0.8033,-0.1092,,0.0094
61,0.0148,0.3406,0.8161,-0.1221,,0.0148
62,0.0384,0.3534,0.8033,-0.1478,,0.0384
63,0.0481,0.392,0.8161,-0.135,,0.0481
64,0.0665,0.3663,0.8033,-0.135,,0.0665
65,0.0728,0.3534,0.8033,-0.0964,,0.0728
66,0.0471,0.3534,0.8033,-0.1221,,0.0471
67,0.0426,0.3663,0.8033,-0.1478,,0.0426
68,0.0423,0.3406,0.8033,-0.1221,,0.0423
69,0.0508,0.3663,0.8161,-0.0964,,0.0508
70,0.0212,0.3534,0.8161,-0.1221,,0.0212
71,0.0305,0.3534,0.7904,-0.1221,,0.0305
72,0.0203,0.3663,0.7904,-0.1478,,0.0203
73,0.0009,0.3534,0.8033,-0.135,,0.0009
74,0.0134,0.3663,0.8033,-0.1092,,0.0134
75,0.0124,0.3663,0.8161,-0.1221,,0.0124
76,0.013,0.3534,0.8161,-0.1221,,0.013
77,0.0114,0.3534,0.8161,-0.1221,,0.0114
78,0.0122,0.3534,0.8033,-0.1478,,0.0122
79,0.0169,0.3792,0.7904,-0.1478,,0.0169
80,0.0329,0.3663,0.8033,-0.135,,0.0329
81,0.0404,0.3663,0.8033,-0.1478,,0.0404
82,0.0378,0.3534,0.8033,-0.1221,,0.0378
83,0.0313,0.3534,0.8033,-0.135,,0.0313
84,0.0321,0.3663,0.8033,-0.135,,0.0321
85,0.0368,0.3663,0.8161,-0.1092,,0.0368
86,0.0317,0.3663,0.8161,-0.135,,0.0317
87,0.0395,0.3663,0.8161,-0.135,,0.0395
88,0.0523,0.3663,0.8033,-0.135,,0.0523
