製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:10,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.4434,0.7647,0.0193,0
2,0.0211,-0.6105,0.6234,0.0707,0.0211
3,0.018,-0.6105,0.6362,0.0707,0.018
4,0.0178,-0.6105,0.6362,0.0707,0.0178
5,0.0061,-0.6105,0.6234,0.0835,0.0061
6,0.0203,-0.6234,0.6234,0.0578,0.0203
7,0.0019,-0.6362,0.6362,0.0707,0.0019
8,0.0171,-0.6362,0.6234,0.0707,0.0171
9,0.0023,-0.6105,0.6362,0.0835,0.0023
10,-0.0138,-0.6234,0.6362,0.0835,0.0138
11,-0.0015,-0.6105,0.6234,0.0707,0.0015
12,0.0091,-0.6234,0.6362,0.0707,0.0091
13,0.0029,-0.6234,0.6362,0.0707,0.0029
14,0.0179,-0.5976,0.6362,0.0964,0.0179
15,0.024,-0.6105,0.6491,0.0835,0.024
16,0.0024,-0.6105,0.6362,0.0835,0.0024
17,0.0107,-0.6105,0.6234,0.0578,0.0107
18,0.0086,-0.5591,0.6362,0.0707,0.0086
19,0.0045,-0.6105,0.6234,0.0835,0.0045
20,0.0361,-0.6105,0.6234,0.0707,0.0361
21,0.022,-0.6234,0.6234,0.0964,0.022
22,0.0021,-0.6234,0.6234,0.0835,0.0021
23,0.0141,-0.6105,0.6234,0.0707,0.0141
24,0.0224,-0.5976,0.6234,0.0835,0.0224
25,0.0254,-0.5976,0.6234,0.0707,0.0254
26,0.0479,-0.5848,0.6234,0.0835,0.0479
27,0.042,-0.6105,0.6234,0.0707,0.042
28,0.0413,-0.6105,0.6234,0.0835,0.0413
29,0.0373,-0.6234,0.6362,0.0835,0.0373
30,0.0429,-0.6105,0.6362,0.0707,0.0429
31,0.0404,-0.6105,0.6234,0.0835,0.0404
32,0.0374,-0.6105,0.6362,0.0707,0.0374
33,0.0494,-0.6105,0.6105,0.0707,0.0494
34,0.0445,-0.5976,0.6234,0.0707,0.0445
35,0.0368,-0.6234,0.6234,0.0578,0.0368
36,0.0341,-0.6105,0.6362,0.0707,0.0341
37,0.0514,-0.6234,0.6234,0.0707,0.0514
38,0.0604,-0.6234,0.6234,0.0707,0.0604
39,0.0116,-0.6234,0.6234,0.0964,0.0116
40,0.0177,-0.5976,0.6362,0.0964,0.0177
41,0.0269,-0.6105,0.6234,0.0835,0.0269
42,0.0067,-0.6105,0.6234,0.045,0.0067
43,0.0087,-0.6234,0.6362,0.0964,0.0087
44,0.0081,-0.6234,0.6234,0.0707,0.0081
45,0.0196,-0.6105,0.6234,0.0964,0.0196
46,0.0177,-0.5976,0.6491,0.0835,0.0177
47,0.021,-0.6105,0.6491,0.0964,0.021
48,0.0398,-0.5462,0.6234,0.0964,0.0398
49,0.0451,-0.5976,0.6234,0.0707,0.0451
50,0.0237,-0.6105,0.6234,0.0707,0.0237
51,0.0387,-0.6105,0.6234,0.0964,0.0387
52,0.0396,-0.6362,0.6234,0.0707,0.0396
53,0.033,-0.6234,0.6234,0.0835,0.033
54,0.053,-0.6105,0.6362,0.0964,0.053
55,0.0463,-0.6234,0.6234,0.0835,0.0463
56,0.0248,-0.5976,0.6234,0.0835,0.0248
57,0.0207,-0.6105,0.6362,0.0578,0.0207
58,0.0065,-0.6105,0.6234,0.0707,0.0065
59,0.0237,-0.6234,0.6234,0.0707,0.0237
60,0.036,-0.6234,0.6362,0.0707,0.036
61,0.0275,-0.6105,0.6234,0.0707,0.0275
62,0.0405,-0.6105,0.6362,0.0707,0.0405
63,0.0374,-0.6234,0.6234,0.0707,0.0374
64,0.0426,-0.5976,0.6105,0.0578,0.0426
65,0.032,-0.6105,0.6234,0.045,0.032
66,0.0419,-0.6234,0.6105,0.0578,0.0419
67,0.0401,-0.6234,0.6234,0.0578,0.0401
68,0.0524,-0.6105,0.6234,0.0964,0.0524
69,0.0386,-0.6105,0.6234,0.0578,0.0386
70,0.0431,-0.6234,0.6234,0.0707,0.0431
71,0.0362,-0.6105,0.6234,0.0707,0.0362
72,0.0149,-0.6105,0.6234,0.0578,0.0149
73,0.0136,-0.6234,0.6234,0.0578,0.0136
74,0.0155,-0.6105,0.6234,0.0707,0.0155
75,0.0206,-0.6234,0.6362,0.0578,0.0206
76,0.0349,-0.6105,0.6234,0.0835,0.0349
77,0.0368,-0.6234,0.6362,0.0835,0.0368
78,0.0345,-0.5719,0.6362,0.0707,0.0345
79,0.048,-0.6105,0.6234,0.045,0.048
80,0.0231,-0.6234,0.6234,0.0707,0.0231
81,0.0171,-0.6105,0.6234,0.0707,0.0171
82,0.0198,-0.6105,0.6234,0.0578,0.0198
83,0.0263,-0.6362,0.6234,0.0578,0.0263
84,0.029,-0.6362,0.6105,0.0578,0.029
85,0.0166,-0.6362,0.6362,0.0707,0.0166
86,0.0316,-0.6234,0.6234,0.0707,0.0316
87,0.0237,-0.6234,0.6234,0.0707,0.0237
88,0.0166,-0.6234,0.6234,0.0707,0.0166
89,0.0087,-0.6362,0.6234,0.0835,0.0087
90,0.0229,-0.6362,0.6234,0.0707,0.0229
91,0.0273,-0.6234,0.6362,0.0707,0.0273
92,0.0441,-0.6234,0.6362,0.0964,0.0441
93,0.0355,-0.6234,0.6362,0.0707,0.0355
94,0.0565,-0.6105,0.6105,0.0578,0.0565
95,0.0401,-0.6362,0.6234,0.0578,0.0401
96,0.0515,-0.6234,0.6234,0.0578,0.0515
97,0.0408,-0.6234,0.6491,0.0578,0.0408
98,0.0341,-0.6234,0.6491,0.0835,0.0341
99,0.0292,-0.6234,0.6362,0.0707,0.0292
100,0.0268,-0.6234,0.6362,0.0578,0.0268
101,0.027,-0.6234,0.6362,0.0707,0.027
