製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 12:36,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.0193,0.7005,0.4177,0
2,0.0617,-0.3663,0.739,0.2249,0.0617
3,0.0313,-0.3534,0.739,0.1992,0.0313
4,0.0489,-0.3534,0.7262,0.2121,0.0489
5,0.0573,-0.3534,0.7519,0.2121,0.0573
6,0.0001,-0.3663,0.739,0.2249,0.0001
7,0.0373,-0.3792,0.7519,0.1992,0.0373
8,0.0257,-0.3663,0.7519,0.2249,0.0257
9,0.0305,-0.3534,0.7647,0.1992,0.0305
10,-0.0105,-0.3663,0.7519,0.2121,0.0105
11,-0.0023,-0.3534,0.7519,0.2121,0.0023
12,0.0086,-0.3534,0.7519,0.1992,0.0086
13,0.0252,-0.3534,0.7519,0.2378,0.0252
14,0.0276,-0.3663,0.739,0.2121,0.0276
15,0.0291,-0.3663,0.739,0.2249,0.0291
16,0.0158,-0.3663,0.739,0.2249,0.0158
17,0.0155,-0.3406,0.7519,0.1992,0.0155
18,0.0496,-0.3663,0.739,0.1992,0.0496
19,0.0394,-0.3663,0.7519,0.2121,0.0394
20,0.0546,-0.3534,0.7519,0.1992,0.0546
21,0.0259,-0.3534,0.7519,0.2121,0.0259
22,0.0434,-0.3663,0.7519,0.2249,0.0434
23,0.0569,-0.3534,0.7519,0.2121,0.0569
24,0.0283,-0.3663,0.7519,0.1992,0.0283
25,0.0369,-0.3534,0.739,0.1992,0.0369
26,0.042,-0.3406,0.739,0.1992,0.042
27,0.0479,-0.3534,0.739,0.2121,0.0479
28,0.0557,-0.3663,0.739,0.1992,0.0557
29,0.0364,-0.3663,0.7262,0.2249,0.0364
30,0.0262,-0.3792,0.739,0.1992,0.0262
31,0.0306,-0.3663,0.7519,0.2249,0.0306
32,0.0024,-0.3663,0.7262,0.2121,0.0024
33,0.0129,-0.2892,0.7262,0.1992,0.0129
34,0.0171,-0.3534,0.7262,0.2249,0.0171
35,0.0149,-0.3663,0.739,0.2249,0.0149
36,0.018,-0.3534,0.739,0.2121,0.018
37,0.0333,-0.3663,0.739,0.2249,0.0333
38,0.0246,-0.3792,0.7519,0.2249,0.0246
39,0.0144,-0.3663,0.7519,0.2121,0.0144
40,0.066,-0.3663,0.739,0.2378,0.066
41,0.0766,-0.3663,0.739,0.2249,0.0766
42,0.0511,-0.3663,0.739,0.2121,0.0511
43,0.0287,-0.3534,0.7262,0.1992,0.0287
44,0.0446,-0.3534,0.739,0.2121,0.0446
45,0.0453,-0.3663,0.7519,0.1992,0.0453
46,0.0445,-0.3663,0.7519,0.2249,0.0445
47,0.0459,-0.3663,0.739,0.1992,0.0459
48,0.0405,-0.302,0.7262,0.1864,0.0405
49,0.013,-0.3534,0.739,0.2249,0.013
50,0.0051,-0.3534,0.739,0.1992,0.0051
51,0.0439,-0.3663,0.739,0.2249,0.0439
52,0.0378,-0.3663,0.739,0.2121,0.0378
53,0.0338,-0.3663,0.739,0.2121,0.0338
54,0.013,-0.3534,0.739,0.2378,0.013
55,0.003,-0.3663,0.739,0.2249,0.003
56,0.0191,-0.3792,0.739,0.1992,0.0191
57,0.0259,-0.3663,0.739,0.1992,0.0259
58,0.01,-0.3534,0.739,0.2121,0.01
59,0.0409,-0.3792,0.7262,0.2249,0.0409
60,0.0382,-0.3663,0.739,0.2121,0.0382
61,0.0367,-0.3663,0.739,0.1992,0.0367
62,0.0281,-0.392,0.739,0.2121,0.0281
63,0.0404,-0.3792,0.739,0.2249,0.0404
64,0.053,-0.3534,0.739,0.2121,0.053
65,0.0528,-0.3792,0.739,0.2249,0.0528
66,0.0329,-0.3663,0.7262,0.2121,0.0329
67,0.0556,-0.3792,0.7262,0.2378,0.0556
68,0.0333,-0.3663,0.7519,0.2378,0.0333
69,0.0329,-0.392,0.739,0.2378,0.0329
70,0.0404,-0.3792,0.739,0.2378,0.0404
71,0.0292,-0.3792,0.739,0.2121,0.0292
72,0.0541,-0.3792,0.739,0.2121,0.0541
73,0.0405,-0.3792,0.739,0.1992,0.0405
74,0.0426,-0.392,0.739,0.2249,0.0426
75,0.0442,-0.3792,0.739,0.2378,0.0442
76,0.0111,-0.3792,0.739,0.2378,0.0111
77,0.0113,-0.392,0.739,0.2378,0.0113
78,0.0042,-0.3277,0.7262,0.2249,0.0042
79,0.0372,-0.3792,0.739,0.2121,0.0372
80,0.0277,-0.3663,0.7519,0.2249,0.0277
81,0.0239,-0.3663,0.739,0.2378,0.0239
82,0.0385,-0.3792,0.739,0.2121,0.0385
83,0.0536,-0.3792,0.7519,0.1992,0.0536
84,0.0237,-0.3792,0.7647,0.2378,0.0237
85,0.0294,-0.3792,0.7519,0.2249,0.0294
86,0.038,-0.3792,0.7519,0.2249,0.038
87,0.0462,-0.3792,0.7262,0.2121,0.0462
88,0.0654,-0.3663,0.7262,0.2121,0.0654
89,0.0508,-0.3663,0.739,0.2121,0.0508
90,0.0129,-0.3663,0.7519,0.2121,0.0129
91,0.0175,-0.3663,0.739,0.2121,0.0175
92,0.0313,-0.3792,0.739,0.2249,0.0313
93,0.0058,-0.3663,0.7262,0.2249,0.0058
94,0.0469,-0.3663,0.7262,0.2249,0.0469
95,0.0519,-0.3792,0.739,0.1992,0.0519
96,0.0233,-0.3663,0.739,0.2121,0.0233
97,0.0133,-0.3663,0.739,0.2121,0.0133
98,0.021,-0.3663,0.7262,0.2121,0.021
99,0.018,-0.3792,0.739,0.2249,0.018
100,0.016,-0.3534,0.7519,0.2121,0.016
101,0.0214,-0.3534,0.739,0.2249,0.0214
102,0.0441,-0.3534,0.739,0.2378,0.0441
103,0.0189,-0.3149,0.739,0.2121,0.0189
104,0.0356,-0.3534,0.739,0.1992,0.0356
105,0.0229,-0.3534,0.7262,0.2121,0.0229
106,0.0223,-0.3534,0.7133,0.2249,0.0223
107,0.0203,-0.3663,0.7262,0.2121,0.0203
108,0.054,-0.3663,0.739,0.2121,0.054
109,0.0451,-0.3663,0.739,0.2249,0.0451
110,0.0431,-0.3534,0.739,0.2121,0.0431
111,0.0316,-0.3534,0.7262,0.1992,0.0316
112,-0.0119,-0.3406,0.7262,0.2249,0.0119
113,-0.0029,-0.3534,0.7262,0.2249,0.0029
114,0.0206,-0.3534,0.7519,0.1992,0.0206
115,0.0078,-0.3663,0.739,0.2121,0.0078
116,0.0264,-0.3534,0.7519,0.2378,0.0264
117,0.0113,-0.3534,0.739,0.2249,0.0113
118,0.0336,-0.3534,0.7262,0.1992,0.0336
119,0.0486,-0.3406,0.7133,0.2121,0.0486
120,0.0567,-0.3534,0.7262,0.2121,0.0567
121,0.0252,-0.3534,0.7262,0.2121,0.0252
122,0.0331,-0.3534,0.739,0.2378,0.0331
123,0.0237,-0.3792,0.739,0.1992,0.0237
124,0.0309,-0.3663,0.739,0.2121,0.0309
125,0.0274,-0.3534,0.739,0.2249,0.0274
126,0.0311,-0.3534,0.739,0.2121,0.0311
