製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,3,,,,
計測開始時刻 ,2018/2/27 11:49,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.6876,0.5591,-0.2635,0
2,0.0365,-0.6876,0.5719,-0.2635,0.0365
3,0.0175,-0.6619,0.5591,-0.2892,0.0175
4,0.0379,-0.6748,0.5591,-0.2635,0.0379
5,0.0423,-0.6748,0.5719,-0.2635,0.0423
6,0.0272,-0.7005,0.5591,-0.2635,0.0272
7,0.0264,-0.6748,0.5848,-0.2763,0.0264
8,0.0191,-0.6748,0.5848,-0.2763,0.0191
9,0.0301,-0.6619,0.5719,-0.2763,0.0301
10,0.0217,-0.6876,0.5719,-0.2763,0.0217
11,0.0208,-0.6748,0.5719,-0.2763,0.0208
12,0.0309,-0.6748,0.5591,-0.2892,0.0309
13,0.0313,-0.6748,0.5848,-0.2892,0.0313
14,0.0185,-0.6748,0.5848,-0.2506,0.0185
15,0.0142,-0.6748,0.5591,-0.2763,0.0142
16,0.0057,-0.6748,0.5719,-0.2635,0.0057
17,0.0035,-0.6876,0.5591,-0.2892,0.0035
18,0.013,-0.6234,0.5462,-0.2763,0.013
19,0.0287,-0.6748,0.5719,-0.2763,0.0287
20,0.0382,-0.6748,0.5591,-0.2892,0.0382
21,0.0473,-0.7005,0.5719,-0.2763,0.0473
22,0.0334,-0.6876,0.5719,-0.2892,0.0334
23,0.0316,-0.6748,0.5719,-0.2763,0.0316
24,0.0156,-0.6748,0.5591,-0.2763,0.0156
25,0.0202,-0.6748,0.5719,-0.2763,0.0202
26,0.0195,-0.6748,0.5591,-0.2635,0.0195
27,0.0159,-0.6748,0.5591,-0.2892,0.0159
28,0.0029,-0.6876,0.5719,-0.2635,0.0029
29,0.0265,-0.6748,0.5719,-0.2506,0.0265
30,0.0437,-0.6748,0.5848,-0.2635,0.0437
31,0.0177,-0.6748,0.5848,-0.2506,0.0177
32,0.0178,-0.6748,0.5591,-0.302,0.0178
33,0.0196,-0.6748,0.5591,-0.302,0.0196
34,0.0062,-0.6619,0.5462,-0.2635,0.0062
35,0.0355,-0.6876,0.5591,-0.2892,0.0355
36,0.0247,-0.6748,0.5719,-0.2892,0.0247
37,0.0155,-0.6876,0.5591,-0.2763,0.0155
38,0.0272,-0.6876,0.5591,-0.302,0.0272
39,0.0263,-0.6748,0.5591,-0.2892,0.0263
40,0.0081,-0.6748,0.5591,-0.2763,0.0081
41,0.017,-0.6876,0.5591,-0.2763,0.017
42,0.0111,-0.6748,0.5591,-0.2506,0.0111
43,0.0078,-0.6748,0.5591,-0.2763,0.0078
44,0.0279,-0.6876,0.5848,-0.2763,0.0279
45,0.0349,-0.6748,0.5848,-0.2763,0.0349
46,0.0543,-0.6876,0.5591,-0.2892,0.0543
47,0.0508,-0.6748,0.5591,-0.2892,0.0508
48,0.0545,-0.7005,0.5462,-0.2892,0.0545
49,0.0289,-0.6619,0.5462,-0.2763,0.0289
50,0.0288,-0.6748,0.5719,-0.2763,0.0288
51,0.0252,-0.6876,0.5719,-0.2763,0.0252
52,0.0251,-0.6876,0.5591,-0.2763,0.0251
53,0.0234,-0.6748,0.5591,-0.2763,0.0234
54,0.0241,-0.7005,0.5591,-0.2763,0.0241
55,0.0448,-0.6876,0.5591,-0.2763,0.0448
56,0.0229,-0.6748,0.5591,-0.2892,0.0229
57,0.0152,-0.6876,0.5462,-0.2763,0.0152
58,0.031,-0.6876,0.5462,-0.2892,0.031
59,0.0029,-0.6876,0.5591,-0.2763,0.0029
60,0.024,-0.6876,0.5719,-0.2635,0.024
61,0.0094,-0.6876,0.5719,-0.2635,0.0094
62,0.0321,-0.6876,0.5719,-0.2635,0.0321
63,0.0275,-0.6748,0.5719,-0.2892,0.0275
64,0.0324,-0.6491,0.5591,-0.2635,0.0324
65,0.048,-0.6748,0.5462,-0.2892,0.048
66,0.0252,-0.6748,0.5462,-0.2763,0.0252
67,0.0442,-0.6748,0.5719,-0.2763,0.0442
68,0.0347,-0.7005,0.5591,-0.302,0.0347
69,0.013,-0.6876,0.5591,-0.2892,0.013
70,0.0155,-0.6748,0.5591,-0.2763,0.0155
71,0.0261,-0.6876,0.5591,-0.2892,0.0261
72,0.0155,-0.6748,0.5591,-0.302,0.0155
73,0.0204,-0.6619,0.5591,-0.2892,0.0204
74,0.019,-0.6748,0.5591,-0.2892,0.019
75,0.0131,-0.6748,0.5719,-0.2635,0.0131
76,0.0138,-0.6748,0.5591,-0.2635,0.0138
77,0.0347,-0.6876,0.5591,-0.2763,0.0347
78,0.0449,-0.6748,0.5591,-0.302,0.0449
79,0.0292,-0.6748,0.5462,-0.2763,0.0292
80,0.0294,-0.6748,0.5462,-0.2892,0.0294
81,0.0437,-0.6619,0.5591,-0.2635,0.0437
82,0.0167,-0.6748,0.5591,-0.2635,0.0167
