製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 12:01,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.392,1.0218,-0.0835,0
2,0.1247,-0.3406,1.0475,-0.1092,0.1247
3,0.0867,-0.3277,1.0346,-0.1221,0.0867
4,0.0468,-0.3406,1.0475,-0.0964,0.0468
5,0.0296,-0.3534,1.0475,-0.1092,0.0296
6,0.0144,-0.3663,1.0346,-0.1092,0.0144
7,0.0119,-0.3534,1.0218,-0.1221,0.0119
8,0.0313,-0.3534,1.0346,-0.135,0.0313
9,0.0215,-0.3406,1.0346,-0.1092,0.0215
10,0.0295,-0.3406,1.0346,-0.1221,0.0295
11,0.0261,-0.3534,1.0346,-0.0964,0.0261
12,0.0253,-0.3406,1.0346,-0.1221,0.0253
13,0.0147,-0.3534,1.0346,-0.1092,0.0147
14,0.0344,-0.3406,1.0346,-0.1092,0.0344
15,0.0357,-0.3534,1.0475,-0.135,0.0357
16,0.0163,-0.3406,1.0346,-0.1092,0.0163
17,0.0092,-0.3406,1.0346,-0.135,0.0092
18,0.0254,-0.302,1.0346,-0.1221,0.0254
19,0.0728,-0.3406,1.0346,-0.1478,0.0728
20,0.0599,-0.3406,1.0475,-0.1092,0.0599
21,0.0491,-0.3534,1.0475,-0.1221,0.0491
22,0.0441,-0.3534,1.0475,-0.135,0.0441
23,0.0324,-0.3534,1.0346,-0.135,0.0324
24,0.0545,-0.3406,1.0346,-0.1221,0.0545
25,0.0728,-0.3534,1.0346,-0.135,0.0728
26,0.0859,-0.3277,1.0475,-0.1221,0.0859
27,0.0849,-0.3406,1.0603,-0.1221,0.0849
28,0.1014,-0.3534,1.0475,-0.1092,0.1014
29,0.142,-0.3534,1.0475,-0.1221,0.142
30,0.154,-0.3534,1.0346,-0.1221,0.154
31,0.0922,-0.3406,1.0475,-0.0964,0.0922
32,0.0774,-0.3406,1.0346,-0.1221,0.0774
33,0.1026,-0.302,1.0346,-0.1092,0.1026
34,0.0884,-0.3277,1.0346,-0.135,0.0884
35,0.0554,-0.3406,1.0346,-0.0835,0.0554
36,0.0433,-0.3534,1.0218,-0.1092,0.0433
37,0.0151,-0.3534,1.0346,-0.1092,0.0151
38,0.0146,-0.3534,1.0475,-0.135,0.0146
39,0.0152,-0.3534,1.0346,-0.1221,0.0152
40,0.0247,-0.3534,1.0346,-0.1221,0.0247
41,0.0182,-0.3277,1.0475,-0.135,0.0182
42,0.036,-0.3406,1.0346,-0.1221,0.036
43,0.0308,-0.3277,1.0475,-0.1221,0.0308
44,0.0552,-0.3534,1.0475,-0.135,0.0552
45,0.0402,-0.3406,1.0603,-0.1092,0.0402
46,-0.0197,-0.3406,1.0475,-0.1221,0.0197
47,0.006,-0.3406,1.0346,-0.1092,0.006
48,0.0558,-0.2892,1.0218,-0.0964,0.0558
49,0.0401,-0.3534,1.0218,-0.1221,0.0401
50,-0.013,-0.3534,1.0346,-0.135,0.013
51,-0.003,-0.3534,1.0475,-0.1092,0.003
52,0.0149,-0.3663,1.0475,-0.1221,0.0149
53,0.0524,-0.3663,1.0346,-0.1092,0.0524
54,0.0716,-0.3534,1.0346,-0.1092,0.0716
55,0.0768,-0.3534,1.0346,-0.1092,0.0768
56,0.0741,-0.3534,1.0346,-0.1092,0.0741
57,0.0587,-0.3534,1.0475,-0.1092,0.0587
58,0.1035,-0.3534,1.0475,-0.1221,0.1035
59,0.1113,-0.3406,1.0475,-0.1092,0.1113
60,0.118,-0.3406,1.0346,-0.1221,0.118
61,0.0984,-0.3406,1.0475,-0.1221,0.0984
62,0.0969,-0.3534,1.0475,-0.135,0.0969
63,0.0614,-0.3534,1.0475,-0.1221,0.0614
64,0.0676,-0.3406,1.0346,-0.1221,0.0676
65,0.1236,-0.3406,1.0346,-0.1092,0.1236
66,0.1217,-0.3534,1.0346,-0.135,0.1217
67,0.0891,-0.3534,1.0475,-0.0964,0.0891
68,0.0416,-0.3406,1.0346,-0.1092,0.0416
69,0.0103,-0.3534,1.0346,-0.1221,0.0103
70,0.0124,-0.3534,1.0346,-0.135,0.0124
71,-0.0082,-0.3534,1.0475,-0.0964,0.0082
72,-0.012,-0.3534,1.0346,-0.1221,0.012
73,-0.0292,-0.3534,1.0346,-0.1221,0.0292
74,-0.002,-0.3534,1.0475,-0.1092,0.002
75,0.0177,-0.3406,1.0475,-0.1092,0.0177
76,0.0814,-0.3406,1.0475,-0.0964,0.0814
77,0.0931,-0.3406,1.0475,-0.1221,0.0931
78,0.0999,-0.3663,1.0475,-0.1221,0.0999
79,0.128,-0.3406,1.0218,-0.1221,0.128
80,0.1272,-0.3406,1.0346,-0.1092,0.1272
81,0.087,-0.3406,1.0475,-0.1221,0.087
82,0.0552,-0.3406,1.0475,-0.1092,0.0552
83,0.0365,-0.3534,1.0475,-0.1221,0.0365
84,0.0035,-0.3663,1.0346,-0.1092,0.0035
