製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,6,,,,,
計測開始時刻 ,2018/2/27 11:31,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,絶対値
1,0,0.2378,0.9575,0.1478,,0
2,-0.0613,-0.0578,1.0346,0.0578,,0.0613
3,-0.0214,-0.0578,1.0346,0.0578,,0.0214
4,0.0159,-0.0578,1.0346,0.0707,,0.0159
5,0.0181,-0.0578,1.0346,0.0578,,0.0181
6,0.045,-0.0578,1.0475,0.0707,,0.045
7,0.066,-0.0578,1.0475,0.0578,,0.066
8,0.1162,-0.045,1.0346,0.0321,,0.1162
9,0.1288,-0.0321,1.0346,0.0835,,0.1288
10,0.1354,-0.045,1.0346,0.0835,,0.1354
11,0.0686,-0.0578,1.0346,0.0835,,0.0686
12,0.065,-0.045,1.0346,0.0707,,0.065
13,0.1164,-0.045,1.0475,0.0707,,0.1164
14,0.1879,-0.045,1.0346,0.0707,,0.1879
15,0.1877,-0.045,1.0346,0.0707,,0.1877
16,0.1551,-0.045,1.0089,0.0578,,0.1551
17,0.1475,-0.045,1.0346,0.0578,,0.1475
18,0.106,-0.0578,1.0218,0.045,,0.106
19,0.0677,-0.0578,1.0089,0.0578,,0.0677
20,0.0354,-0.0578,1.0218,0.0707,,0.0354
21,0.0159,-0.0578,1.0218,0.0835,,0.0159
22,-0.0253,-0.0578,1.0218,0.045,,0.0253
23,-0.1419,-0.045,1.0218,0.0835,,0.1419
24,-0.1413,-0.045,1.0218,0.0578,,0.1413
25,-0.0552,-0.045,1.0218,0.045,,0.0552
26,-0.0473,-0.0578,1.0218,0.0835,,0.0473
27,-0.0855,-0.0578,1.0346,0.0964,,0.0855
28,-0.083,-0.045,1.0218,0.0964,,0.083
29,-0.0324,-0.045,1.0346,0.0578,,0.0324
30,0.0074,-0.045,1.0475,0.0835,,0.0074
31,0.0246,-0.0578,1.0218,0.0578,,0.0246
32,0.0406,-0.045,1.0218,0.0835,,0.0406
33,0.0744,-0.0578,1.0218,0.0964,,0.0744
34,0.0866,-0.0321,1.0218,0.0835,,0.0866
35,0.1087,-0.0707,1.0218,0.0835,,0.1087
36,0.0998,-0.0707,1.0218,0.0964,,0.0998
37,0.1012,-0.0707,1.0218,0.0964,,0.1012
38,0.1132,-0.0578,1.0218,0.0964,,0.1132
39,0.1168,-0.0578,1.0218,0.0578,,0.1168
40,0.1137,-0.0707,1.0218,0.0707,,0.1137
41,0.0837,-0.0707,1.0218,0.0964,,0.0837
42,0.0767,-0.0707,1.0346,0.0835,,0.0767
43,0.0828,-0.0707,1.0218,0.0707,,0.0828
44,0.0576,-0.0707,1.0346,0.0835,,0.0576
45,0.094,-0.0707,1.0346,0.0707,,0.094
46,0.0792,-0.0578,1.0346,0.1092,,0.0792
47,0.0534,-0.0707,1.0218,0.0835,,0.0534
48,0.0687,-0.0835,1.0089,0.0835,,0.0687
49,0.1033,-0.0707,1.0218,0.0835,,0.1033
50,0.1239,-0.0707,1.0218,0.0578,,0.1239
51,0.1213,-0.0707,1.0218,0.0835,,0.1213
52,0.1214,-0.0707,1.0218,0.0964,,0.1214
53,0.1345,-0.0707,1.0346,0.0835,,0.1345
54,0.1189,-0.0707,1.0218,0.0835,,0.1189
55,0.0987,-0.0707,1.0218,0.0835,,0.0987
56,0.0755,-0.0707,1.0218,0.0835,,0.0755
57,0.0295,-0.0707,1.0218,0.0835,,0.0295
58,0.0333,-0.0707,1.0475,0.0835,,0.0333
59,0.0475,-0.0707,1.0346,0.1092,,0.0475
60,0.0691,-0.0578,1.0475,0.0964,,0.0691
61,0.0378,-0.0578,1.0346,0.0835,,0.0378
62,0.0167,-0.0578,1.0346,0.1092,,0.0167
63,0.0285,-0.0707,1.0346,0.0964,,0.0285
64,0.0442,-0.0707,1.0218,0.0578,,0.0442
65,0.042,-0.0578,1.0346,0.0835,,0.042
66,0.0771,-0.0707,1.0218,0.0835,,0.0771
67,0.1069,-0.0578,1.0346,0.0835,,0.1069
68,0.1064,-0.0707,1.0346,0.0835,,0.1064
69,0.0848,-0.0707,1.0218,0.0707,,0.0848
70,0.0953,-0.0707,1.0218,0.0707,,0.0953
71,0.132,-0.0578,1.0346,0.0578,,0.132
72,0.1348,-0.0578,1.0346,0.0707,,0.1348
73,0.1419,-0.0707,1.0346,0.0835,,0.1419
74,0.1228,-0.0707,1.0475,0.0835,,0.1228
75,0.1135,-0.0578,1.0475,0.0707,,0.1135
76,0.1463,-0.0578,1.0346,0.0835,,0.1463
77,0.1532,-0.045,1.0346,0.0835,,0.1532
78,0.1488,0.0064,1.0346,0.0964,,0.1488
79,0.1258,-0.0321,1.0218,0.0964,,0.1258
80,0.0762,-0.0578,1.0475,0.0835,,0.0762
81,0.0611,-0.0578,1.0475,0.0707,,0.0611
82,0.0156,-0.045,1.0475,0.0707,,0.0156
83,-0.013,-0.0578,1.0346,0.0707,,0.013
84,-0.0166,-0.045,1.0346,0.0578,,0.0166
85,-0.0269,-0.045,1.0218,0.0707,,0.0269
86,-0.0336,-0.045,1.0475,0.0707,,0.0336
87,-0.0093,-0.045,1.0346,0.0578,,0.0093
88,-0.0078,-0.0578,1.0346,0.0707,,0.0078
89,-0.0215,-0.045,1.0346,0.0707,,0.0215
90,0.001,-0.045,1.0475,0.0578,,0.001
91,0.044,-0.0321,1.0603,0.0835,,0.044
92,0.0949,-0.0321,1.0475,0.0578,,0.0949
93,0.2316,-0.0064,1.0346,0.0578,,0.2316
94,0.277,-0.0193,1.0475,0.0321,,0.277
95,0.285,-0.045,1.0475,0.0578,,0.285
96,0.2152,-0.045,1.0346,0.0707,,0.2152
97,0.1266,-0.045,1.0475,0.0707,,0.1266
98,0.0965,-0.045,1.0475,0.0578,,0.0965
99,0.0719,-0.045,1.0346,0.0707,,0.0719
100,-0.0075,-0.045,1.0218,0.0578,,0.0075
101,-0.0207,-0.0321,1.0346,0.0707,,0.0207
102,-0.0473,-0.0321,1.0346,0.0707,,0.0473
103,-0.0394,-0.045,1.0346,0.0835,,0.0394
104,0.0103,-0.0321,1.0475,0.0578,,0.0103
105,-0.0005,-0.045,1.0346,0.045,,0.0005
106,0.0426,-0.0321,1.0603,0.0835,,0.0426
107,0.0484,-0.0193,1.0475,0.0578,,0.0484
108,0.0545,-0.0193,1.0475,0.0707,,0.0545
109,0.1042,-0.0193,1.0346,0.0578,,0.1042
110,0.1162,-0.0321,1.0346,0.0578,,0.1162
111,0.131,-0.0321,1.0475,0.045,,0.131
112,0.144,-0.0321,1.0346,0.0707,,0.144
113,0.1412,-0.0193,1.0346,0.045,,0.1412
114,0.1148,-0.0321,1.0218,0.0707,,0.1148
115,0.085,-0.0193,1.0218,0.0835,,0.085
116,0.0783,-0.0321,1.0218,0.0578,,0.0783
117,0.0855,-0.0321,1.0346,0.0578,,0.0855
118,0.0596,-0.0193,1.0218,0.0578,,0.0596
119,0.0617,-0.0064,1.0218,0.0578,,0.0617
120,0.0657,-0.0321,1.0346,0.045,,0.0657
121,0.0482,-0.0321,1.0346,0.0578,,0.0482
122,0.061,-0.0193,1.0346,0.0578,,0.061
123,0.0268,-0.0321,1.0346,0.0835,,0.0268
124,0.0578,-0.0321,1.0218,0.0578,,0.0578
125,0.0702,-0.0321,1.0346,0.0578,,0.0702
126,0.0988,-0.0193,1.0218,0.0707,,0.0988
127,0.1501,-0.0193,1.0346,0.0835,,0.1501
128,0.1808,-0.0321,1.0346,0.0707,,0.1808
129,0.1806,-0.0321,1.0218,0.0707,,0.1806
130,0.151,-0.0321,1.0218,0.0578,,0.151
131,0.1091,-0.045,1.0218,0.0835,,0.1091
132,0.0889,-0.0321,1.0218,0.0578,,0.0889
133,0.0609,-0.0321,1.0218,0.0707,,0.0609
134,0.04,-0.0321,1.0346,0.0707,,0.04
135,0.0174,-0.045,1.0218,0.0578,,0.0174
136,-0.0127,-0.0321,1.0346,0.0964,,0.0127
137,-0.0657,-0.045,1.0346,0.1092,,0.0657
138,-0.0519,-0.0578,1.0218,0.0835,,0.0519
139,0.0148,-0.045,1.0346,0.0707,,0.0148
140,0.0404,-0.045,1.0218,0.0707,,0.0404
141,0.05,-0.0321,1.0218,0.0835,,0.05
142,0.1255,-0.045,1.0218,0.0835,,0.1255
143,0.1896,-0.0578,1.0346,0.0835,,0.1896
144,0.1915,-0.045,1.0218,0.0964,,0.1915
145,0.1561,-0.045,1.0346,0.0835,,0.1561
146,0.1107,-0.045,1.0218,0.0578,,0.1107
147,0.0371,-0.0578,1.0218,0.0707,,0.0371
148,-0.0089,-0.0578,1.0218,0.0835,,0.0089
149,-0.0464,-0.045,1.0218,0.0835,,0.0464
150,-0.0661,-0.045,1.0218,0.0964,,0.0661
151,-0.0563,-0.045,1.0346,0.0964,,0.0563
152,-0.0724,-0.0707,1.0218,0.1092,,0.0724
153,-0.033,-0.0578,1.0346,0.1092,,0.033
154,-0.0232,-0.045,1.0346,0.0835,,0.0232
155,0.0112,-0.045,1.0346,0.0964,,0.0112
156,0.024,-0.0578,1.0346,0.1092,,0.024
157,0.0563,-0.0578,1.0218,0.0707,,0.0563
158,0.0866,-0.045,1.0346,0.0707,,0.0866
159,0.0966,-0.0578,1.0346,0.0835,,0.0966
160,0.112,-0.0578,1.0218,0.0835,,0.112
161,0.1244,-0.0578,1.0089,0.0835,,0.1244
162,0.1507,-0.0578,1.0218,0.0964,,0.1507
163,0.1543,0.0064,1.0346,0.0835,,0.1543
164,0.1902,-0.045,1.0346,0.0835,,0.1902
165,0.161,-0.045,1.0346,0.0707,,0.161
166,0.1165,-0.0707,1.0346,0.0964,,0.1165
167,0.1168,-0.0578,1.0346,0.0835,,0.1168
168,0.1391,-0.0578,1.0475,0.0835,,0.1391
169,0.0947,-0.0578,1.0475,0.0835,,0.0947
170,0.0558,-0.0578,1.0346,0.0707,,0.0558
