製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,6,,,,
計測開始時刻 ,2018/2/27 11:32,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x12 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,絶対値
1,0,-0.0321,1.0346,0.0578,0
2,0.0797,0.0707,0.9961,0.0707,0.0797
3,-0.05,0.0835,1.0218,0.045,0.05
4,-0.1145,0.0964,1.0089,0.0578,0.1145
5,-0.0079,0.0835,1.0089,0.045,0.0079
6,0.024,0.0835,1.0218,0.0707,0.024
7,0.0467,0.0835,1.0089,0.0578,0.0467
8,0.0305,0.0835,1.0218,0.0707,0.0305
9,0.04,0.0964,1.0218,0.045,0.04
10,0.114,0.0835,1.0089,0.045,0.114
11,0.1513,0.0707,1.0089,0.0707,0.1513
12,0.1357,0.0835,1.0089,0.0578,0.1357
13,0.1204,0.0835,1.0218,0.0578,0.1204
14,0.1745,0.0835,1.0089,0.0578,0.1745
15,0.2038,0.0835,1.0218,0.045,0.2038
16,0.1935,0.0578,1.0089,0.045,0.1935
17,0.1441,0.0578,1.0089,0.0578,0.1441
18,0.0965,0.0835,1.0218,0.0707,0.0965
19,0.0244,0.0835,0.9961,0.045,0.0244
20,-0.0263,0.0707,1.0089,0.0578,0.0263
21,-0.0097,0.0835,0.9961,0.0578,0.0097
22,0.0262,0.0707,1.0218,0.0578,0.0262
23,0.072,0.0835,1.0218,0.0707,0.072
24,0.1044,0.0835,1.0218,0.0578,0.1044
25,0.1044,0.0707,1.0218,0.0707,0.1044
26,0.1464,0.0835,1.0089,0.0707,0.1464
27,0.1304,0.0707,1.0089,0.0578,0.1304
28,0.0959,0.0707,1.0089,0.0578,0.0959
29,0.0885,0.0707,1.0089,0.0707,0.0885
30,0.0279,0.0835,1.0218,0.0707,0.0279
31,-0.0129,0.0835,1.0089,0.0707,0.0129
32,-0.0157,0.0707,1.0089,0.0578,0.0157
33,-0.0519,0.135,1.0089,0.0578,0.0519
34,0.0325,0.0835,1.0089,0.045,0.0325
35,0.1053,0.0835,1.0089,0.045,0.1053
36,0.0947,0.0707,1.0089,0.0578,0.0947
37,0.0528,0.0707,0.9961,0.0707,0.0528
38,0.0486,0.0707,1.0089,0.0578,0.0486
39,0.0441,0.0707,1.0218,0.0578,0.0441
40,0.0387,0.0835,1.0218,0.0578,0.0387
41,0.036,0.0707,1.0089,0.045,0.036
42,0.0409,0.0835,0.9961,0.0578,0.0409
43,0.0914,0.0707,1.0089,0.045,0.0914
44,0.1504,0.0964,1.0089,0.0578,0.1504
45,0.1636,0.0835,1.0218,0.0578,0.1636
46,0.1435,0.0835,1.0089,0.0835,0.1435
47,0.133,0.0835,0.9961,0.0578,0.133
48,0.1209,0.1221,1.0218,0.045,0.1209
49,0.0764,0.0964,1.0089,0.0578,0.0764
50,0.0762,0.0964,1.0089,0.0578,0.0762
51,0.0522,0.0835,1.0089,0.045,0.0522
52,0.0855,0.0835,1.0218,0.0578,0.0855
53,0.1082,0.0835,1.0218,0.045,0.1082
54,0.1158,0.0964,1.0218,0.0578,0.1158
55,0.0781,0.0835,1.0218,0.045,0.0781
56,0.0543,0.0835,1.0218,0.0578,0.0543
57,0.0614,0.0835,1.0089,0.0707,0.0614
58,0.0297,0.0964,1.0346,0.0578,0.0297
59,0.0134,0.0835,1.0218,0.0707,0.0134
60,-0.0018,0.0835,1.0089,0.0707,0.0018
61,-0.0259,0.0835,1.0089,0.045,0.0259
62,-0.0192,0.0835,1.0346,0.045,0.0192
63,0.0012,0.0835,1.0089,0.0321,0.0012
64,-0.0042,0.1092,1.0089,0.0578,0.0042
65,0.0574,0.0964,1.0218,0.0578,0.0574
66,0.0768,0.0964,1.0089,0.0707,0.0768
67,0.095,0.0835,1.0218,0.045,0.095
68,0.0602,0.0835,1.0218,0.0578,0.0602
69,-0.0273,0.0835,1.0346,0.0707,0.0273
70,-0.0041,0.0835,1.0218,0.0578,0.0041
71,0.0583,0.0964,1.0089,0.0707,0.0583
72,0.062,0.0835,1.0218,0.0707,0.062
73,0.0691,0.0964,1.0218,0.0707,0.0691
74,0.0947,0.0964,1.0089,0.0707,0.0947
75,0.0738,0.0964,1.0218,0.0707,0.0738
76,0.0292,0.0835,1.0218,0.0707,0.0292
77,0.0029,0.0707,1.0089,0.0707,0.0029
78,0.001,0.1092,1.0089,0.045,0.001
79,-0.0166,0.0964,1.0218,0.045,0.0166
80,0.0231,0.0835,1.0218,0.0578,0.0231
81,0.1501,0.0835,1.0218,0.045,0.1501
82,0.1753,0.0964,1.0089,0.0835,0.1753
83,0.2434,0.0835,1.0218,0.0578,0.2434
84,0.3275,0.0835,1.0218,0.045,0.3275
85,0.2708,0.0835,1.0218,0.0707,0.2708
86,0.1455,0.0964,1.0346,0.0835,0.1455
87,0.0512,0.0964,1.0346,0.045,0.0512
88,-0.0543,0.0835,1.0218,0.0578,0.0543
89,-0.1751,0.0964,1.0218,0.0707,0.1751
90,-0.1877,0.0835,1.0089,0.0707,0.1877
91,-0.1836,0.0835,1.0218,0.0578,0.1836
92,-0.1663,0.0835,1.0218,0.045,0.1663
93,-0.1269,0.0835,1.0218,0.0578,0.1269
94,-0.0519,0.1092,1.0218,0.0578,0.0519
95,-0.0173,0.0835,1.0218,0.0578,0.0173
96,0.0391,0.0964,1.0218,0.045,0.0391
97,0.0602,0.0964,1.0218,0.0578,0.0602
98,0.0749,0.0964,1.0218,0.0321,0.0749
99,0.1288,0.0964,1.0218,0.045,0.1288
100,0.1477,0.0964,1.0218,0.0707,0.1477
101,0.1567,0.0835,1.0218,0.0707,0.1567
102,0.1463,0.1092,1.0346,0.0835,0.1463
103,0.1321,0.1478,1.0218,0.0707,0.1321
104,0.0843,0.1092,1.0089,0.0707,0.0843
105,0.0398,0.0835,1.0089,0.045,0.0398
106,-0.0313,0.0964,1.0218,0.0835,0.0313
107,-0.0576,0.0964,1.0346,0.045,0.0576
108,-0.0302,0.0964,1.0218,0.0578,0.0302
109,-0.004,0.0835,1.0089,0.0835,0.004
110,0.0442,0.0964,1.0218,0.045,0.0442
111,0.0628,0.0964,1.0218,0.045,0.0628
112,0.0661,0.0964,1.0089,0.0578,0.0661
113,0.0503,0.0964,1.0089,0.0578,0.0503
114,0.1057,0.0964,1.0218,0.0707,0.1057
115,0.1444,0.0835,1.0089,0.0707,0.1444
116,0.1406,0.0835,1.0218,0.045,0.1406
117,0.1255,0.0835,1.0218,0.0578,0.1255
118,0.0928,0.1478,1.0089,0.0707,0.0928
119,0.0254,0.1092,1.0089,0.0578,0.0254
120,-0.0591,0.0964,1.0089,0.0707,0.0591
121,-0.0521,0.0964,1.0089,0.0964,0.0521
122,-0.018,0.0835,1.0089,0.0707,0.018
123,0.0455,0.0707,1.0089,0.0578,0.0455
124,0.0988,0.0835,1.0089,0.0835,0.0988
125,0.1218,0.0707,1.0089,0.0578,0.1218
126,0.1101,0.0835,1.0089,0.045,0.1101
