製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 12:23,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.2763,0.7904,-0.5205,,0
2,-0.024,0.3534,0.8033,-0.4563,,0.024
3,-0.024,0.3534,0.8161,-0.5077,,0.024
4,-0.033,0.3534,0.8033,-0.482,,0.033
5,-0.0365,0.3406,0.7904,-0.4948,,0.0365
6,-0.0302,0.3406,0.7904,-0.4691,,0.0302
7,-0.0228,0.3406,0.8161,-0.4691,,0.0228
8,-0.0516,0.3406,0.8033,-0.482,,0.0516
9,-0.0506,0.3277,0.8033,-0.482,,0.0506
10,-0.0522,0.3406,0.7904,-0.482,,0.0522
11,-0.0321,0.3406,0.7904,-0.482,,0.0321
12,-0.0338,0.3406,0.7904,-0.4691,,0.0338
13,-0.0423,0.3406,0.8033,-0.4563,,0.0423
14,-0.0664,0.3406,0.7904,-0.4691,,0.0664
15,-0.0489,0.3406,0.8161,-0.4563,,0.0489
16,-0.0455,0.3406,0.8033,-0.4948,,0.0455
17,-0.0391,0.3534,0.8033,-0.4691,,0.0391
18,-0.0431,0.3277,0.8033,-0.4563,,0.0431
19,-0.028,0.3663,0.7904,-0.4563,,0.028
20,0.0043,0.3534,0.8033,-0.4691,,0.0043
21,-0.0204,0.3534,0.8161,-0.4691,,0.0204
22,-0.0386,0.3534,0.8033,-0.4563,,0.0386
23,-0.0505,0.3534,0.8033,-0.4563,,0.0505
24,-0.0801,0.3406,0.8033,-0.4691,,0.0801
25,-0.0786,0.3406,0.8033,-0.4691,,0.0786
26,-0.0667,0.3534,0.8161,-0.4691,,0.0667
27,-0.0719,0.3406,0.7904,-0.482,,0.0719
28,-0.0702,0.3534,0.8033,-0.4948,,0.0702
29,-0.0556,0.3406,0.7904,-0.482,,0.0556
30,-0.0357,0.3534,0.8033,-0.4691,,0.0357
31,0.0075,0.3406,0.8033,-0.4691,,0.0075
32,0.0371,0.3534,0.8033,-0.4563,,0.0371
33,0.0268,0.3406,0.8033,-0.4563,,0.0268
34,0.0303,0.3534,0.7904,-0.4691,,0.0303
35,0.0069,0.3534,0.7904,-0.482,,0.0069
36,-0.0028,0.3534,0.8033,-0.4691,,0.0028
37,0.0124,0.3534,0.7904,-0.4691,,0.0124
38,0.0125,0.3534,0.7904,-0.482,,0.0125
39,-0.0181,0.3406,0.7904,-0.4691,,0.0181
40,-0.0135,0.3406,0.7904,-0.4691,,0.0135
41,-0.025,0.3406,0.7904,-0.4948,,0.025
42,-0.0393,0.3663,0.7904,-0.4691,,0.0393
43,-0.0211,0.3534,0.7776,-0.4563,,0.0211
44,-0.0344,0.3406,0.7904,-0.4563,,0.0344
45,-0.0491,0.3534,0.7904,-0.482,,0.0491
46,-0.0585,0.3534,0.7904,-0.4563,,0.0585
47,-0.0679,0.3534,0.7904,-0.482,,0.0679
48,-0.0775,0.3792,0.7904,-0.4434,,0.0775
49,-0.0675,0.3534,0.7904,-0.4563,,0.0675
50,-0.0468,0.3406,0.7904,-0.4691,,0.0468
51,-0.0724,0.3663,0.7904,-0.4691,,0.0724
52,-0.0495,0.3534,0.7776,-0.4691,,0.0495
53,-0.0662,0.3534,0.7904,-0.4691,,0.0662
54,-0.0311,0.3534,0.7776,-0.4691,,0.0311
55,-0.0307,0.3406,0.7904,-0.4563,,0.0307
56,-0.0046,0.3406,0.7904,-0.4691,,0.0046
57,-0.0113,0.3534,0.7776,-0.4948,,0.0113
58,-0.0047,0.3406,0.7776,-0.482,,0.0047
59,-0.0102,0.3534,0.7904,-0.5205,,0.0102
60,-0.0036,0.3534,0.7776,-0.482,,0.0036
61,-0.0378,0.3663,0.7904,-0.482,,0.0378
62,-0.0471,0.3406,0.7904,-0.482,,0.0471
63,-0.0602,0.3406,0.7904,-0.4691,,0.0602
64,-0.0583,0.3663,0.7904,-0.4691,,0.0583
65,-0.0631,0.3534,0.7776,-0.482,,0.0631
66,-0.0401,0.3534,0.7776,-0.482,,0.0401
67,-0.05,0.3406,0.7776,-0.4691,,0.05
