製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,7,,,,,
計測開始時刻 ,2018/2/27 11:59,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
1,0,0.8804,0.4434,-0.6362,,0
2,-0.0501,0.5591,0.739,-0.5591,,0.0501
3,-0.0661,0.5591,0.739,-0.5591,,0.0661
4,-0.073,0.5591,0.739,-0.5462,,0.073
5,-0.0607,0.5591,0.7262,-0.5462,,0.0607
6,-0.0549,0.5591,0.7262,-0.5719,,0.0549
7,-0.0371,0.5591,0.7262,-0.5591,,0.0371
8,-0.0792,0.5591,0.739,-0.5462,,0.0792
9,-0.0445,0.5591,0.7262,-0.5334,,0.0445
10,-0.0362,0.5591,0.739,-0.5591,,0.0362
11,-0.0339,0.5591,0.739,-0.5462,,0.0339
12,-0.0131,0.5462,0.739,-0.5719,,0.0131
13,-0.0064,0.5591,0.7262,-0.5591,,0.0064
14,-0.0197,0.5591,0.7262,-0.5591,,0.0197
15,-0.0287,0.5719,0.739,-0.5462,,0.0287
16,-0.0364,0.5591,0.7262,-0.5462,,0.0364
17,-0.0395,0.5462,0.739,-0.5719,,0.0395
18,-0.0349,0.5334,0.7262,-0.5591,,0.0349
19,-0.0261,0.5591,0.7262,-0.5462,,0.0261
20,0.0003,0.5591,0.7262,-0.5334,,0.0003
21,-0.0467,0.5591,0.7262,-0.5591,,0.0467
22,-0.0382,0.5462,0.7262,-0.5719,,0.0382
23,-0.0113,0.5591,0.739,-0.5462,,0.0113
24,-0.0105,0.5591,0.7262,-0.5334,,0.0105
25,-0.0481,0.5591,0.739,-0.5719,,0.0481
26,-0.0467,0.5462,0.7519,-0.5334,,0.0467
27,-0.053,0.5591,0.739,-0.5462,,0.053
28,-0.042,0.5591,0.7262,-0.5591,,0.042
29,-0.024,0.5591,0.739,-0.5719,,0.024
30,-0.0408,0.5591,0.739,-0.5462,,0.0408
31,-0.0435,0.5591,0.739,-0.5462,,0.0435
32,-0.0376,0.5462,0.739,-0.5462,,0.0376
33,-0.0108,0.5334,0.739,-0.5591,,0.0108
34,-0.0376,0.5719,0.7519,-0.5591,,0.0376
35,-0.0343,0.5591,0.739,-0.5334,,0.0343
36,-0.0193,0.5591,0.739,-0.5719,,0.0193
37,-0.0233,0.5591,0.739,-0.5591,,0.0233
38,-0.0345,0.5591,0.7262,-0.5591,,0.0345
39,-0.0434,0.5591,0.7262,-0.5462,,0.0434
40,-0.0442,0.5591,0.7519,-0.5334,,0.0442
41,-0.0261,0.5591,0.739,-0.5591,,0.0261
42,-0.0297,0.5591,0.739,-0.5334,,0.0297
43,-0.0193,0.5462,0.7262,-0.5334,,0.0193
44,-0.0467,0.5591,0.739,-0.5591,,0.0467
45,-0.0343,0.5591,0.739,-0.5334,,0.0343
46,-0.0513,0.5591,0.739,-0.5462,,0.0513
47,-0.0489,0.5591,0.739,-0.5462,,0.0489
48,-0.043,0.5462,0.739,-0.5591,,0.043
49,-0.0486,0.5591,0.739,-0.5462,,0.0486
50,-0.0574,0.5462,0.7262,-0.5462,,0.0574
51,-0.0089,0.5591,0.7262,-0.5591,,0.0089
52,-0.0091,0.5719,0.739,-0.5591,,0.0091
53,-0.0124,0.5591,0.7519,-0.5334,,0.0124
54,-0.0294,0.5591,0.739,-0.5719,,0.0294
55,-0.0155,0.5462,0.7647,-0.5591,,0.0155
56,-0.0214,0.5591,0.7519,-0.5205,,0.0214
57,-0.0263,0.5462,0.7519,-0.5462,,0.0263
58,-0.0472,0.5591,0.7519,-0.5591,,0.0472
59,-0.0445,0.5591,0.739,-0.5334,,0.0445
60,-0.0527,0.5719,0.739,-0.5334,,0.0527
61,-0.0239,0.5719,0.739,-0.5462,,0.0239
62,-0.0379,0.5591,0.739,-0.5334,,0.0379
63,-0.0309,0.6105,0.7262,-0.5462,,0.0309
64,-0.0374,0.5591,0.7262,-0.5205,,0.0374
65,-0.044,0.5462,0.7262,-0.5719,,0.044
66,-0.0178,0.5462,0.739,-0.5462,,0.0178
67,-0.0163,0.5591,0.739,-0.5591,,0.0163
68,-0.0338,0.5719,0.739,-0.5591,,0.0338
69,-0.0236,0.5462,0.7262,-0.5719,,0.0236
70,-0.0387,0.5591,0.739,-0.5462,,0.0387
71,-0.0382,0.5462,0.7519,-0.5205,,0.0382
72,-0.0316,0.5591,0.7519,-0.5334,,0.0316
73,-0.0102,0.5591,0.739,-0.5462,,0.0102
74,-0.0062,0.5591,0.739,-0.5462,,0.0062
75,-0.0177,0.5591,0.739,-0.5591,,0.0177
76,-0.0251,0.5462,0.7262,-0.5591,,0.0251
77,-0.0217,0.5591,0.7519,-0.5462,,0.0217
78,-0.025,0.5848,0.739,-0.5205,,0.025
79,-0.0232,0.5591,0.739,-0.5462,,0.0232
80,-0.0445,0.5462,0.7262,-0.5591,,0.0445
81,-0.0584,0.5462,0.739,-0.5462,,0.0584
82,-0.051,0.5591,0.739,-0.5591,,0.051
83,-0.0605,0.5719,0.739,-0.5462,,0.0605
84,-0.0532,0.5591,0.739,-0.5591,,0.0532
85,-0.0563,0.5591,0.739,-0.5462,,0.0563
86,-0.0357,0.5462,0.7519,-0.5334,,0.0357
87,-0.0444,0.5591,0.739,-0.5334,,0.0444
88,-0.0662,0.5591,0.739,-0.5462,,0.0662
89,-0.0693,0.5591,0.739,-0.5334,,0.0693
90,-0.055,0.5591,0.7262,-0.5591,,0.055
91,-0.06,0.5591,0.7519,-0.5591,,0.06
92,-0.0479,0.5719,0.739,-0.5462,,0.0479
93,-0.0015,0.5462,0.739,-0.5205,,0.0015
94,0.0212,0.5591,0.7262,-0.5462,,0.0212
95,-0.0094,0.5591,0.739,-0.5334,,0.0094
96,-0.0389,0.5462,0.739,-0.5334,,0.0389
97,-0.0319,0.5462,0.7262,-0.5077,,0.0319
98,-0.0309,0.5591,0.739,-0.5077,,0.0309
99,-0.0152,0.5591,0.7262,-0.5462,,0.0152
100,-0.0046,0.5462,0.7262,-0.5205,,0.0046
101,-0.0114,0.5591,0.739,-0.5462,,0.0114
102,-0.0345,0.5462,0.7262,-0.5334,,0.0345
103,-0.0375,0.5976,0.739,-0.5205,,0.0375
104,-0.0484,0.5719,0.739,-0.5334,,0.0484
105,-0.0398,0.5591,0.7262,-0.5334,,0.0398
106,-0.0537,0.5591,0.7262,-0.5334,,0.0537
107,-0.0453,0.5719,0.739,-0.5077,,0.0453
108,-0.0316,0.5591,0.7262,-0.5462,,0.0316
109,-0.0056,0.5462,0.7262,-0.5205,,0.0056
110,-0.0062,0.5591,0.739,-0.5205,,0.0062
111,-0.0177,0.5591,0.7262,-0.5334,,0.0177
112,-0.0351,0.5462,0.739,-0.5334,,0.0351
113,-0.0283,0.5462,0.7262,-0.5462,,0.0283
114,-0.0302,0.5591,0.739,-0.5077,,0.0302
115,-0.0379,0.5591,0.739,-0.5334,,0.0379
116,-0.0248,0.5591,0.7262,-0.5334,,0.0248
117,0.0004,0.5462,0.739,-0.5334,,0.0004
118,-0.0218,0.6105,0.739,-0.5462,,0.0218
119,-0.0409,0.5719,0.7262,-0.5462,,0.0409
120,-0.0382,0.5591,0.739,-0.5205,,0.0382
121,-0.0409,0.5719,0.7262,-0.5591,,0.0409
122,-0.0497,0.5591,0.739,-0.5205,,0.0497
123,-0.0497,0.5719,0.7262,-0.5205,,0.0497
124,-0.0589,0.5591,0.739,-0.5334,,0.0589
125,-0.0387,0.5591,0.7262,-0.5077,,0.0387
126,-0.0246,0.5591,0.739,-0.5591,,0.0246
127,-0.0226,0.5591,0.7262,-0.5462,,0.0226
128,-0.022,0.5591,0.739,-0.5591,,0.022
129,-0.0453,0.5591,0.7262,-0.5462,,0.0453
130,-0.0409,0.5591,0.7262,-0.5205,,0.0409
131,-0.0206,0.5591,0.7262,-0.5205,,0.0206
132,-0.0303,0.5462,0.7262,-0.5591,,0.0303
133,-0.0212,0.5976,0.739,-0.5334,,0.0212
134,-0.0527,0.5591,0.739,-0.5334,,0.0527
135,-0.0353,0.5591,0.739,-0.5205,,0.0353
136,-0.0362,0.5591,0.739,-0.5077,,0.0362
137,-0.0263,0.5591,0.7262,-0.5591,,0.0263
138,-0.0288,0.5591,0.7262,-0.5334,,0.0288
139,-0.0291,0.5591,0.7262,-0.5334,,0.0291
140,-0.0279,0.5591,0.7262,-0.5205,,0.0279
141,-0.0045,0.5334,0.7262,-0.5591,,0.0045
142,0.002,0.5591,0.739,-0.5591,,0.002
143,-0.0102,0.5591,0.7262,-0.5462,,0.0102
144,-0.0325,0.5591,0.7262,-0.5462,,0.0325
145,-0.0457,0.5591,0.7262,-0.5205,,0.0457
146,-0.0351,0.5462,0.7262,-0.5591,,0.0351
147,-0.0519,0.5719,0.739,-0.5205,,0.0519
148,-0.0317,0.6105,0.7262,-0.5077,,0.0317
149,-0.0312,0.5719,0.7262,-0.5462,,0.0312
150,-0.0387,0.5591,0.739,-0.5462,,0.0387
151,-0.051,0.5719,0.739,-0.5334,,0.051
152,-0.0506,0.5591,0.7262,-0.5334,,0.0506
153,-0.0571,0.5591,0.7262,-0.5334,,0.0571
154,-0.0593,0.5591,0.739,-0.5334,,0.0593
155,-0.0445,0.5591,0.739,-0.5205,,0.0445
156,-0.0314,0.5719,0.739,-0.5334,,0.0314
157,-0.0085,0.5591,0.7262,-0.5077,,0.0085
158,0.0001,0.5462,0.7262,-0.5334,,0.0001
159,-0.0313,0.5591,0.7262,-0.5205,,0.0313
160,-0.0225,0.5591,0.7262,-0.5334,,0.0225
161,-0.0442,0.5719,0.7262,-0.5462,,0.0442
162,-0.0426,0.5591,0.7262,-0.5077,,0.0426
163,-0.0453,0.5334,0.7262,-0.5462,,0.0453
164,-0.0511,0.5591,0.7262,-0.5334,,0.0511
165,-0.0393,0.5591,0.7262,-0.5077,,0.0393
166,-0.0107,0.5719,0.7262,-0.5205,,0.0107
167,-0.0237,0.5591,0.7262,-0.5334,,0.0237
168,-0.0448,0.5719,0.739,-0.5462,,0.0448
169,-0.0274,0.5719,0.739,-0.5077,,0.0274
170,-0.051,0.5591,0.7262,-0.5462,,0.051
171,-0.055,0.5591,0.7262,-0.5334,,0.055
172,-0.0818,0.5591,0.739,-0.5591,,0.0818
173,-0.0536,0.5462,0.7262,-0.5334,,0.0536
174,-0.0303,0.5591,0.7262,-0.5334,,0.0303
175,-0.0281,0.5591,0.7262,-0.5591,,0.0281
176,-0.0316,0.5591,0.739,-0.5205,,0.0316
177,-0.0311,0.5591,0.7262,-0.5334,,0.0311
178,-0.0451,0.5462,0.739,-0.5462,,0.0451
179,-0.0237,0.5591,0.739,-0.5077,,0.0237
180,-0.0331,0.5591,0.739,-0.5334,,0.0331
181,-0.0316,0.5591,0.7519,-0.5334,,0.0316
182,-0.013,0.5719,0.739,-0.5591,,0.013
183,-0.0141,0.5591,0.7262,-0.5334,,0.0141
184,-0.0009,0.5719,0.7262,-0.5719,,0.0009
185,-0.0056,0.5719,0.7262,-0.5334,,0.0056
186,-0.0151,0.5591,0.739,-0.5334,,0.0151
187,-0.0254,0.5591,0.7262,-0.5334,,0.0254
