製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,
計測時ID ,9,,,,
計測開始時刻 ,00/00/00 00:14 ,,,,
サンプリング周波数 ,1000,,,,
シーケンス数 ,20000,,,,
PGAゲイン ,x8 ,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,
コメント , ,,,,
ファイル保存形式, 演算データ,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,
1,0,-0.5976,0.1992,-0.9575,0
2,0.0257,-1.356,0.135,-1.0089,0.0257
3,-0.0215,-1.2917,0.1478,-0.9961,0.0215
4,-0.032,-1.2531,0.1478,-0.9832,0.032
5,0.0269,-1.2017,0.1607,-0.9832,0.0269
6,0.0633,-1.1503,0.1607,-0.9832,0.0633
7,0.0286,-1.1246,0.1864,-0.9704,0.0286
8,0.0353,-1.0732,0.1992,-0.9447,0.0353
9,0.0955,-1.0475,0.2121,-0.919,0.0955
10,0.0805,-1.0218,0.2249,-0.919,0.0805
11,0.0918,-0.9832,0.2506,-0.8804,0.0918
12,0.0984,-0.9447,0.2506,-0.8804,0.0984
13,0.0412,-0.919,0.2763,-0.8547,0.0412
14,-0.0847,-0.8933,0.2635,-0.8547,0.0847
15,-0.1381,-0.8547,0.2892,-0.829,0.1381
16,-0.1376,-0.8418,0.2763,-0.8033,0.1376
17,-0.1136,-0.829,0.302,-0.7904,0.1136
18,-0.0662,-0.8161,0.3149,-0.7647,0.0662
19,-0.0085,-0.7904,0.2892,-0.739,0.0085
20,0.0483,-0.7776,0.302,-0.6876,0.0483
21,0.0884,-0.7519,0.3149,-0.6491,0.0884
22,0.098,-0.739,0.3149,-0.6234,0.098
23,0.0807,-0.7262,0.3277,-0.5719,0.0807
24,-0.0104,-0.7262,0.3149,-0.5462,0.0104
25,-0.0717,-0.7005,0.3277,-0.4948,0.0717
26,-0.117,-0.7262,0.3277,-0.4434,0.117
27,-0.0698,-0.7262,0.3277,-0.4177,0.0698
28,0.0021,-0.7133,0.3277,-0.3663,0.0021
29,0.0113,-0.7262,0.3149,-0.3277,0.0113
30,0.0028,-0.739,0.302,-0.2635,0.0028
31,0.027,-0.7519,0.2763,-0.2249,0.027
32,0.0345,-0.7647,0.2506,-0.1864,0.0345
33,0.0307,-0.7133,0.2506,-0.135,0.0307
34,0.0316,-0.7904,0.2249,-0.1092,0.0316
35,0.0262,-0.8161,0.2249,-0.045,0.0262
36,0.0276,-0.829,0.2121,0.0193,0.0276
37,0.036,-0.8418,0.1864,0.045,0.036
38,0.0543,-0.8676,0.1735,0.0835,0.0543
39,0.0757,-0.8676,0.1607,0.135,0.0757
40,0.0603,-0.8933,0.135,0.1992,0.0603
41,0.0009,-0.919,0.135,0.2249,0.0009
42,-0.0539,-0.9447,0.1221,0.302,0.0539
43,-0.0281,-0.9704,0.1092,0.3534,0.0281
44,0.0083,-0.9704,0.1092,0.3534,0.0083
45,-0.0166,-1.0089,0.0964,0.4049,0.0166
46,-0.0082,-1.0218,0.0707,0.4177,0.0082
47,0.0316,-1.0475,0.045,0.4563,0.0316
48,0.0307,-1.086,0.045,0.5077,0.0307
49,0.0124,-1.0603,0.045,0.5077,0.0124
50,0.0302,-1.0989,0.0321,0.4948,0.0302
51,0.0389,-1.086,0.0321,0.5077,0.0389
52,-0.0004,-1.086,0.0193,0.5205,0.0004
53,-0.0259,-1.0732,0.0064,0.5077,0.0259
54,-0.0006,-1.0603,0.0193,0.5205,0.0006
55,-0.0185,-1.0603,0.0064,0.5077,0.0185
56,-0.0523,-1.0603,0.0064,0.5205,0.0523
57,-0.05,-1.0475,0.0193,0.4948,0.05
58,0.0254,-1.0346,0.0321,0.5205,0.0254
59,0.0993,-1.0218,0.0321,0.4691,0.0993
60,0.165,-1.0089,0.045,0.4306,0.165
61,0.1667,-0.9961,0.045,0.4177,0.1667
62,0.1323,-0.9704,0.0578,0.392,0.1323
63,0.0653,-0.9575,0.0707,0.3534,0.0653
64,-0.0281,-0.9318,0.0835,0.3534,0.0281
65,-0.0992,-0.9318,0.0964,0.3406,0.0992
66,-0.0453,-0.919,0.1221,0.2892,0.0453
67,-0.008,-0.8933,0.135,0.302,0.008
68,-0.0427,-0.8804,0.135,0.2763,0.0427
69,-0.0273,-0.8547,0.1478,0.2249,0.0273
70,-0.0045,-0.8418,0.1864,0.2121,0.0045
71,0.0171,-0.829,0.1992,0.1735,0.0171
72,0.0536,-0.829,0.2249,0.1607,0.0536
73,0.0888,-0.8161,0.2378,0.1221,0.0888
74,0.1105,-0.8161,0.2506,0.0835,0.1105
75,0.1329,-0.8161,0.2635,0.0578,0.1329
76,0.1363,-0.8033,0.2892,0.0064,0.1363
77,0.0528,-0.8161,0.2892,-0.0193,0.0528
78,0.001,-0.829,0.3149,-0.0064,0.001
79,0.0131,-0.8033,0.3149,-0.0835,0.0131
80,-0.0144,-0.8418,0.3406,-0.1221,0.0144
81,-0.1573,-0.8418,0.3534,-0.135,0.1573
82,-0.1609,-0.8547,0.3534,-0.1607,0.1609
83,-0.0646,-0.8418,0.3663,-0.2121,0.0646
84,-0.0224,-0.8547,0.3792,-0.2378,0.0224
85,0.0078,-0.8676,0.392,-0.2635,0.0078
86,0.0413,-0.8804,0.3792,-0.3149,0.0413
87,0.0489,-0.8933,0.4049,-0.3406,0.0489
88,0.0644,-0.9061,0.4049,-0.3663,0.0644
89,0.08,-0.9061,0.4177,-0.4306,0.08
90,-0.0015,-0.919,0.4177,-0.4177,0.0015
91,-0.1054,-0.9318,0.4049,-0.482,0.1054
92,-0.0723,-0.919,0.4177,-0.482,0.0723
93,-0.0096,-0.8804,0.4049,-0.5077,0.0096
94,-0.0229,-0.9318,0.4049,-0.5848,0.0229
95,-0.0063,-0.9447,0.4049,-0.5848,0.0063
96,0.0047,-0.9447,0.4049,-0.6105,0.0047
97,-0.0109,-0.9575,0.4049,-0.6105,0.0109
98,0.0089,-0.9575,0.4049,-0.6619,0.0089
99,0.0286,-0.9447,0.4049,-0.7005,0.0286
100,0.0218,-0.9447,0.4049,-0.6748,0.0218
101,0.0042,-0.9447,0.392,-0.739,0.0042
102,0.0045,-0.9575,0.4049,-0.7647,0.0045
103,0.0226,-0.9575,0.3792,-0.7776,0.0226
104,0.0393,-0.9447,0.392,-0.7776,0.0393
105,0.0691,-0.9447,0.3792,-0.8033,0.0691
106,0.0721,-0.9447,0.3663,-0.829,0.0721
107,0.0419,-0.9318,0.3663,-0.8418,0.0419
108,0.0237,-0.9318,0.3534,-0.8804,0.0237
109,0.0697,-0.9447,0.3406,-0.8933,0.0697
110,0.1284,-0.9318,0.3406,-0.9318,0.1284
111,0.138,-0.9318,0.3277,-0.919,0.138
112,0.1431,-0.9447,0.3406,-0.9447,0.1431
113,0.0764,-0.9318,0.3149,-0.9575,0.0764
114,-0.0333,-0.9318,0.3149,-0.9447,0.0333
115,-0.1251,-0.919,0.3277,-0.9961,0.1251
116,-0.165,-0.919,0.302,-0.9961,0.165
117,-0.0611,-0.919,0.302,-1.0089,0.0611
118,0.0182,-0.8804,0.2892,-1.0218,0.0182
119,0.0449,-0.8933,0.302,-0.9961,0.0449
120,0.0419,-0.9061,0.302,-0.9832,0.0419
121,0.0195,-0.8933,0.302,-1.0089,0.0195
122,0.0328,-0.8933,0.2892,-1.0346,0.0328
123,0.0263,-0.8933,0.2892,-1.0346,0.0263
124,0.0123,-0.8804,0.2892,-1.0732,0.0123
125,-0.0078,-0.8933,0.2892,-1.0603,0.0078
126,-0.0024,-0.8804,0.2892,-1.0603,0.0024
127,-0.0094,-0.8933,0.2763,-1.0475,0.0094
128,0.0201,-0.8804,0.302,-1.086,0.0201
129,0.0349,-0.8804,0.2892,-1.0989,0.0349
130,0.0182,-0.8804,0.2892,-1.0989,0.0182
131,-0.0151,-0.8676,0.2892,-1.0989,0.0151
132,0.0064,-0.8418,0.302,-1.1118,0.0064
133,0.0327,-0.8547,0.2763,-1.0989,0.0327
134,0.0032,-0.829,0.2763,-1.0989,0.0032
135,-0.0382,-0.8418,0.302,-1.0989,0.0382
136,-0.0141,-0.829,0.302,-1.0989,0.0141
137,0.0177,-0.8161,0.302,-1.1375,0.0177
138,0.0609,-0.829,0.2892,-1.1503,0.0609
139,0.0973,-0.8161,0.2763,-1.176,0.0973
140,0.1025,-0.8033,0.2892,-1.1503,0.1025
141,0.0695,-0.8033,0.2892,-1.1632,0.0695
142,0.0312,-0.7904,0.302,-1.176,0.0312
143,0.0083,-0.7904,0.2892,-1.1632,0.0083
144,-0.0638,-0.7904,0.2763,-1.1889,0.0638
145,-0.027,-0.7904,0.2892,-1.1889,0.027
146,0.0127,-0.7776,0.2763,-1.1632,0.0127
147,0.0435,-0.7776,0.2635,-1.2017,0.0435
148,0.0662,-0.7904,0.2763,-1.176,0.0662
149,0.0456,-0.7904,0.2635,-1.2017,0.0456
150,-0.0111,-0.7904,0.2892,-1.1889,0.0111
151,-0.0603,-0.7904,0.2763,-1.2146,0.0603
152,-0.0675,-0.7904,0.2892,-1.2146,0.0675
153,-0.027,-0.7904,0.2763,-1.2403,0.027
154,0.0456,-0.7904,0.2635,-1.2403,0.0456
155,0.0693,-0.7904,0.2506,-1.2531,0.0693
156,0.1009,-0.7776,0.2763,-1.2531,0.1009
157,0.0561,-0.7776,0.2635,-1.2531,0.0561
158,0.023,-0.8033,0.2506,-1.266,0.023
159,0.0191,-0.7904,0.2506,-1.2788,0.0191
160,-0.0024,-0.8033,0.2635,-1.2917,0.0024
161,-0.0184,-0.8033,0.2506,-1.2917,0.0184
162,-0.0168,-0.8033,0.2378,-1.2788,0.0168
163,-0.0181,-0.7519,0.2378,-1.3045,0.0181
164,0.0204,-0.8033,0.2378,-1.3045,0.0204
165,0.0119,-0.8033,0.2506,-1.2917,0.0119
166,0.018,-0.8033,0.2506,-1.2788,0.018
167,0.0708,-0.7904,0.2378,-1.3045,0.0708
168,0.1094,-0.7904,0.2378,-1.2917,0.1094
169,0.1099,-0.7904,0.2378,-1.3045,0.1099
170,0.0344,-0.7776,0.2249,-1.3174,0.0344
171,-0.0423,-0.7776,0.2249,-1.2917,0.0423
172,-0.0679,-0.7776,0.2121,-1.2788,0.0679
173,-0.0614,-0.7647,0.2121,-1.2917,0.0614
174,0.0279,-0.7904,0.2121,-1.2788,0.0279
175,0.1094,-0.7776,0.2121,-1.2788,0.1094
176,0.1389,-0.7904,0.2121,-1.2788,0.1389
177,0.1586,-0.7904,0.1735,-1.2788,0.1586
178,0.1452,-0.8033,0.1864,-1.2917,0.1452
179,-0.0133,-0.7776,0.1607,-1.2917,0.0133
180,-0.1154,-0.7904,0.1735,-1.3174,0.1154
181,-0.142,-0.7776,0.1864,-1.3174,0.142
182,-0.1202,-0.7776,0.1735,-1.3302,0.1202
183,-0.145,-0.7776,0.1735,-1.3302,0.145
184,-0.0737,-0.7647,0.1864,-1.356,0.0737
185,-0.0119,-0.7776,0.1735,-1.3817,0.0119
186,0.0235,-0.739,0.1864,-1.3945,0.0235
187,0.0393,-0.7519,0.1864,-1.3817,0.0393
188,0.0818,-0.6876,0.1864,-1.3945,0.0818
189,0.1365,-0.7519,0.1607,-1.3945,0.1365
190,0.2044,-0.739,0.1735,-1.4331,0.2044
191,0.2411,-0.739,0.1864,-1.4074,0.2411
192,0.2166,-0.7133,0.1735,-1.4074,0.2166
193,0.1061,-0.7133,0.1864,-1.3817,0.1061
194,-0.0617,-0.7005,0.1735,-1.3817,0.0617
195,-0.1013,-0.7133,0.1735,-1.3688,0.1013
196,-0.0964,-0.6876,0.1735,-1.3688,0.0964
197,-0.071,-0.6748,0.1864,-1.356,0.071
198,0.0511,-0.6619,0.1735,-1.3431,0.0511
199,0.0826,-0.6491,0.1735,-1.3302,0.0826
200,0.0951,-0.6362,0.1607,-1.2917,0.0951
201,0.0606,-0.6234,0.1478,-1.2788,0.0606
202,0.0294,-0.5848,0.1607,-1.2403,0.0294
203,-0.069,-0.5976,0.1607,-1.2274,0.069
204,-0.064,-0.5591,0.135,-1.2146,0.064
205,0.0142,-0.5719,0.1092,-1.1889,0.0142
206,0.0909,-0.5591,0.1221,-1.1889,0.0909
207,0.105,-0.5334,0.135,-1.1246,0.105
208,0.1229,-0.5205,0.1092,-1.1246,0.1229
209,0.0738,-0.5077,0.1221,-1.0989,0.0738
210,0.0554,-0.5077,0.0964,-1.0732,0.0554
211,0.1217,-0.4948,0.0964,-1.0603,0.1217
212,0.0289,-0.482,0.0964,-1.0475,0.0289
213,-0.0647,-0.4563,0.0964,-1.0475,0.0647
214,-0.0804,-0.4434,0.0835,-1.0346,0.0804
215,-0.0969,-0.4434,0.0707,-1.0218,0.0969
216,-0.0174,-0.4306,0.0578,-1.0218,0.0174
217,0.0294,-0.4177,0.0578,-1.0346,0.0294
218,0.1237,-0.3277,0.0707,-1.0346,0.1237
219,0.113,-0.3792,0.045,-1.0218,0.113
220,0.1543,-0.3792,0.0578,-1.0346,0.1543
221,0.0561,-0.3663,0.045,-1.0346,0.0561
222,-0.1009,-0.3534,0.045,-1.0475,0.1009
223,-0.14,-0.3534,0.045,-1.0346,0.14
224,-0.0241,-0.3277,0.0321,-1.0475,0.0241
225,0.0916,-0.3149,0.0193,-1.0603,0.0916
226,0.1071,-0.3277,0.0064,-1.0475,0.1071
227,0.0068,-0.3149,0.0193,-1.0603,0.0068
228,0.0335,-0.3149,0.0321,-1.0732,0.0335
229,0.0988,-0.302,0.0193,-1.0475,0.0988
230,0.0638,-0.302,0.0321,-1.0603,0.0638
231,0.1123,-0.302,0.0193,-1.086,0.1123
232,0.097,-0.302,0.0064,-1.086,0.097
233,0.1015,-0.3149,-0.0064,-1.0989,0.1015
234,0.0631,-0.2892,-0.0064,-1.0989,0.0631
235,-0.0485,-0.3149,0.0064,-1.1246,0.0485
236,-0.1475,-0.3277,0.0064,-1.1246,0.1475
237,-0.125,-0.3149,0.0321,-1.1118,0.125
238,-0.0479,-0.3277,0.0193,-1.1375,0.0479
239,0.0503,-0.3406,0.0064,-1.1632,0.0503
240,0.0987,-0.3406,0.0193,-1.1375,0.0987
241,0.1489,-0.3534,0.0193,-1.1632,0.1489
242,0.2169,-0.3534,0.0321,-1.1889,0.2169
243,0.2404,-0.3792,0.045,-1.2274,0.2404
244,0.2925,-0.392,0.0321,-1.2531,0.2925
245,0.206,-0.3792,0.0578,-1.2531,0.206
246,-0.0316,-0.4177,0.0578,-1.3174,0.0316
247,-0.2257,-0.4049,0.045,-1.356,0.2257
248,-0.3171,-0.3406,0.0578,-1.3817,0.3171
249,-0.1727,-0.4306,0.045,-1.4074,0.1727
250,-0.0642,-0.4563,0.0707,-1.4459,0.0642
251,-0.0177,-0.4691,0.0835,-1.4716,0.0177
252,0.0007,-0.4948,0.0707,-1.5487,0.0007
253,0.0243,-0.5205,0.0835,-1.5616,0.0243
254,-0.0584,-0.5205,0.0835,-1.613,0.0584
255,-0.1221,-0.5205,0.0964,-1.6644,0.1221
256,-0.1104,-0.5334,0.0964,-1.7287,0.1104
257,-0.1246,-0.5462,0.0964,-1.7672,0.1246
258,-0.0775,-0.5719,0.1092,-1.8444,0.0775
259,-0.1037,-0.5976,0.1221,-1.9086,0.1037
260,-0.0671,-0.5976,0.135,-1.9857,0.0671
261,0.1082,-0.6234,0.135,-2.0371,0.1082
262,0.1336,-0.6491,0.135,-2.1014,0.1336
263,0.134,-0.6876,0.1478,-2.1785,0.134
264,-0.0274,-0.6748,0.1607,-2.2299,0.0274
265,-0.2253,-0.7262,0.1864,-2.2813,0.2253
266,-0.489,-0.7519,0.2121,-2.3456,0.489
267,-0.4225,-0.7776,0.2121,-2.4099,0.4225
268,-0.2012,-0.8161,0.2121,-2.4484,0.2012
269,-0.0017,-0.8418,0.2249,-2.4998,0.0017
270,0.1171,-0.8676,0.2121,-2.577,0.1171
271,0.2895,-0.8933,0.2249,-2.6027,0.2895
272,0.3492,-0.9447,0.2378,-2.6412,0.3492
273,0.3588,-0.9575,0.2249,-2.6669,0.3588
274,0.2415,-1.0089,0.2378,-2.6798,0.2415
275,0.0058,-1.0346,0.2506,-2.6926,0.0058
276,-0.2031,-1.086,0.2506,-2.7055,0.2031
277,-0.102,-1.1246,0.2506,-2.7055,0.102
278,0.101,-1.1375,0.2378,-2.7055,0.101
279,0.1971,-1.2017,0.2378,-2.6541,0.1971
280,0.2158,-1.266,0.2249,-2.577,0.2158
281,0.1573,-1.2788,0.2249,-2.4998,0.1573
282,-0.033,-1.3302,0.1992,-2.4227,0.033
