製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,
計測時ID ,11,,,
計測開始時刻 ,00/00/00 00:08 ,,,
サンプリング周波数 ,1000,,,
シーケンス数 ,20000,,,
PGAゲイン ,x6 ,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,
コメント , ,,,
ファイル保存形式, 演算データ,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
1,0,-0.7519,0.135,-0.8161
2,-0.0073,-0.6362,-0.0321,-0.739
3,-0.0058,-0.6234,-0.0321,-0.7519
4,-0.0175,-0.6105,-0.0321,-0.7647
5,-0.0149,-0.5976,-0.0321,-0.7647
6,-0.0101,-0.5848,-0.045,-0.7776
7,0.0035,-0.5462,-0.045,-0.7519
8,-0.0035,-0.5334,-0.045,-0.7647
9,-0.0233,-0.5077,-0.0578,-0.7519
10,-0.0538,-0.4948,-0.0578,-0.7776
11,-0.1349,-0.4948,-0.045,-0.7904
12,-0.1721,-0.482,-0.0578,-0.8161
13,-0.1949,-0.4563,-0.045,-0.7904
14,-0.2177,-0.4306,-0.0578,-0.829
15,-0.2137,-0.4306,-0.045,-0.8547
16,-0.1683,-0.4177,-0.0321,-0.8676
17,-0.11,-0.392,-0.045,-0.8933
18,-0.0724,-0.3792,-0.0321,-0.8676
19,0.0234,-0.3663,-0.0193,-0.8804
20,0.1578,-0.3663,-0.0064,-0.8676
21,0.2735,-0.3663,-0.0193,-0.8804
22,0.2855,-0.3663,-0.0193,-0.8547
23,0.2646,-0.3406,-0.045,-0.8547
24,0.2638,-0.3534,-0.0193,-0.8161
25,0.2544,-0.3406,-0.0193,-0.8161
26,0.1395,-0.3406,-0.0193,-0.8033
27,0.0478,-0.3406,-0.0193,-0.8033
28,0.0027,-0.3534,-0.0321,-0.7647
29,-0.0307,-0.3534,-0.0193,-0.739
30,-0.0283,-0.3534,-0.0321,-0.7262
31,-0.0322,-0.3534,-0.0321,-0.7133
32,-0.0356,-0.3663,-0.045,-0.6748
33,-0.0342,-0.3534,-0.045,-0.6876
34,-0.0445,-0.392,-0.045,-0.6234
35,-0.0614,-0.4049,-0.0321,-0.6234
36,-0.0442,-0.4306,-0.0193,-0.5976
37,0.0111,-0.4563,-0.0321,-0.5719
38,0.0395,-0.4691,-0.0193,-0.5719
39,0.0521,-0.4948,-0.0193,-0.5462
40,0.0746,-0.5205,-0.0064,-0.5334
41,0.0693,-0.5462,-0.0064,-0.5077
42,0.0102,-0.5719,0.0064,-0.4948
43,-0.0232,-0.5848,0.0064,-0.4948
44,-0.0437,-0.6105,0.0193,-0.4691
45,-0.0371,-0.6234,0.0064,-0.4177
46,-0.0229,-0.6619,0.0064,-0.4306
47,-0.0158,-0.7005,0.0064,-0.4177
48,0.0067,-0.7133,0.0064,-0.4049
49,0.0254,-0.739,-0.0064,-0.3792
50,0.0302,-0.7776,0.0064,-0.3792
51,0.0244,-0.8033,-0.0064,-0.3792
52,0.0138,-0.8418,0.0064,-0.3663
53,0.0031,-0.8547,0.0064,-0.3663
54,-0.0199,-0.8676,-0.0064,-0.3792
55,-0.0292,-0.8804,0.0064,-0.3663
56,-0.0491,-0.8933,-0.0064,-0.3663
57,-0.0503,-0.919,-0.0193,-0.3663
58,-0.0285,-0.919,-0.0064,-0.3663
59,-0.004,-0.9447,-0.0064,-0.3792
60,0.0115,-0.9447,-0.0064,-0.3792
61,0.0352,-0.9447,-0.0321,-0.3792
62,0.0415,-0.9575,-0.0193,-0.392
63,0.0294,-0.9447,-0.0321,-0.392
64,0.0308,-0.9575,-0.0321,-0.392
65,0.0188,-0.9704,-0.0193,-0.392
66,0.0045,-0.9704,0.0064,-0.392
67,-0.0083,-0.9704,-0.0193,-0.4177
68,0.0034,-0.9575,-0.0064,-0.4049
69,0.004,-0.9447,0.0193,-0.392
70,-0.0171,-0.9318,0.0064,-0.4177
71,-0.029,-0.9318,0.0064,-0.4177
72,-0.039,-0.9318,0.0321,-0.4049
73,-0.0367,-0.9061,0.0193,-0.4177
74,-0.0302,-0.9061,0.0321,-0.4306
75,-0.0136,-0.8804,0.045,-0.4177
76,-0.0078,-0.8804,0.0578,-0.4306
77,0.0073,-0.8676,0.0578,-0.4563
78,0.0094,-0.829,0.0578,-0.4563
79,-0.0004,-0.8418,0.0707,-0.4563
80,-0.0428,-0.8418,0.0707,-0.4691
81,-0.0691,-0.829,0.0964,-0.4563
82,-0.0768,-0.8418,0.0964,-0.4691
83,-0.0845,-0.829,0.1092,-0.4691
84,-0.1218,-0.8418,0.0964,-0.482
85,-0.2178,-0.829,0.1092,-0.4691
86,-0.2723,-0.829,0.1221,-0.4948
87,-0.2361,-0.8161,0.1221,-0.5077
88,-0.2276,-0.829,0.135,-0.482
89,-0.218,-0.829,0.1221,-0.4948
90,-0.1562,-0.8418,0.1478,-0.4948
91,-0.0344,-0.8418,0.1478,-0.5077
92,0.0595,-0.8418,0.1478,-0.4948
93,0.1098,-0.8547,0.1478,-0.5205
94,0.1855,-0.8547,0.1607,-0.5077
95,0.2506,-0.8676,0.1607,-0.5334
96,0.2306,-0.8933,0.1607,-0.4948
97,0.2511,-0.8933,0.1478,-0.5334
98,0.2642,-0.9061,0.1607,-0.5205
99,0.2752,-0.9061,0.1735,-0.4948
100,0.252,-0.919,0.1735,-0.5205
101,0.2205,-0.919,0.1478,-0.5077
