[位置・速度]

ファイル        , C:\Users\bcl\Documents\計測データ\227\Session004\Temp.AVI
シーン数        ,   4001
計測点数        ,      3
コマ数／単位時間, 200.00/s, フレーム間隔, 0.01s
計測インターバル, 1
距離スケール    , 0.11cm/画素
原点X           , 0.00
原点Y           , 0.00
回転角          , 0.00
Y軸方向         , 1
 ,         ,        , 座標X    ,         ,          , 座標Y   ,         ,          
 , シーン  , 時間(s), 計測点1  , 計測点2 , 計測点3  , 計測点1 , 計測点2 , 計測点3  
 ,        1,    0.00,     27.34,    26.76,     49.39,     4.83,    18.90,     31.95
 ,        2,    0.01,     27.37,    26.98,     49.20,     4.83,    18.87,     32.40
 ,        3,    0.01,     27.40,    27.22,     48.96,     4.80,    18.84,     32.86
 ,        4,    0.01,     27.43,    27.46,     48.71,     4.79,    18.79,     33.27
 ,        5,    0.02,     27.50,    27.68,     48.45,     4.77,    18.77,     33.68
 ,        6,    0.03,     27.52,    27.94,     48.14,     4.75,    18.75,     34.09
 ,        7,    0.03,     27.57,    28.16,     47.85,     4.74,    18.75,     34.44
 ,        8,    0.04,     27.63,    28.39,     47.52,     4.73,    18.75,     34.80
 ,        9,    0.04,     27.66,    28.60,     47.21,     4.72,    18.75,     35.11
 ,       10,    0.04,     27.73,    28.81,     46.84,     4.74,    18.77,     35.41
 ,       11,    0.05,     27.76,    29.01,     46.47,     4.74,    18.79,     35.69
 ,       12,    0.06,     27.82,    29.19,     46.09,     4.75,    18.85,     35.92
 ,       13,    0.06,     27.85,    29.36,     45.67,     4.77,    18.87,     36.19
 ,       14,    0.07,     27.87,    29.50,     45.27,     4.79,    18.93,     36.37
 ,       15,    0.07,     27.93,    29.64,     44.84,     4.80,    18.98,     36.61
 ,       16,    0.07,     27.95,    29.78,     44.40,     4.81,    19.06,     36.79
 ,       17,    0.08,     27.97,    29.88,     43.95,     4.85,    19.09,     36.98
 ,       18,    0.09,     27.97,    29.99,     43.50,     4.88,    19.18,     37.16
 ,       19,    0.09,     27.99,    30.07,     43.07,     4.91,    19.22,     37.33
 ,       20,    0.10,     28.00,    30.16,     42.61,     4.92,    19.30,     37.50
 ,       21,    0.10,     28.03,    30.25,     42.17,     4.95,    19.32,     37.62
 ,       22,    0.11,     28.04,    30.32,     41.78,     4.97,    19.41,     37.80
 ,       23,    0.11,     28.05,    30.38,     41.35,     5.01,    19.43,     37.93
 ,       24,    0.12,     28.05,    30.43,     40.99,     5.02,    19.48,     38.05
 ,       25,    0.12,     28.03,    30.48,     40.61,     5.05,    19.50,     38.19
 ,       26,    0.13,     28.03,    30.49,     40.28,     5.07,    19.53,     38.29
 ,       27,    0.13,     28.03,    30.49,     39.95,     5.08,    19.55,     38.43
 ,       28,    0.14,     28.03,    30.49,     39.65,     5.08,    19.57,     38.50
 ,       29,    0.14,     28.04,    30.49,     39.40,     5.11,    19.62,     38.61
 ,       30,    0.14,     28.02,    30.45,     39.15,     5.11,    19.64,     38.70
 ,       31,    0.15,     28.01,    30.38,     38.95,     5.11,    19.69,     38.80
 ,       32,    0.16,     27.99,    30.32,     38.80,     5.13,    19.73,     38.89
 ,       33,    0.16,     27.97,    30.23,     38.61,     5.12,    19.75,     38.93
 ,       34,    0.17,     27.96,    30.14,     38.49,     5.12,    19.77,     39.01
 ,       35,    0.17,     27.95,    30.02,     38.37,     5.12,    19.84,     39.08
 ,       36,    0.18,     27.93,    29.87,     38.28,     5.11,    19.86,     39.14
 ,       37,    0.18,     27.91,    29.73,     38.22,     5.11,    19.91,     39.15
 ,       38,    0.19,     27.85,    29.56,     38.16,     5.10,    19.95,     39.22
 ,       39,    0.19,     27.84,    29.39,     38.14,     5.09,    19.97,     39.25
 ,       40,    0.20,     27.80,    29.21,     38.12,     5.08,    20.00,     39.28
 ,       41,    0.20,     27.75,    29.01,     38.12,     5.08,    20.03,     39.30
 ,       42,    0.21,     27.73,    28.82,     38.13,     5.08,    20.08,     39.33
 ,       43,    0.21,     27.69,    28.59,     38.17,     5.06,    20.11,     39.34
 ,       44,    0.22,     27.63,    28.36,     38.22,     5.06,    20.12,     39.30
 ,       45,    0.22,     27.58,    28.13,     38.31,     5.05,    20.19,     39.28
 ,       46,    0.23,     27.52,    27.90,     38.40,     5.03,    20.21,     39.26
 ,       47,    0.23,     27.47,    27.66,     38.51,     5.04,    20.24,     39.21
 ,       48,    0.24,     27.40,    27.37,     38.61,     5.02,    20.27,     39.15
 ,       49,    0.24,     27.33,    27.14,     38.73,     5.03,    20.33,     39.09
 ,       50,    0.25,     27.26,    26.85,     38.84,     5.05,    20.33,     39.00
 ,       51,    0.25,     27.20,    26.60,     38.98,     5.03,    20.34,     38.92
 ,       52,    0.26,     27.10,    26.37,     39.08,     5.02,    20.35,     38.79
 ,       53,    0.26,     27.04,    26.08,     39.24,     5.01,    20.36,     38.68
 ,       54,    0.27,     26.98,    25.84,     39.38,     5.00,    20.40,     38.51
 ,       55,    0.27,     26.89,    25.58,     39.53,     5.01,    20.41,     38.35
 ,       56,    0.28,     26.83,    25.30,     39.71,     5.00,    20.41,     38.15
 ,       57,    0.28,     26.75,    25.05,     39.84,     5.00,    20.44,     37.96
 ,       58,    0.29,     26.67,    24.80,     40.03,     5.00,    20.45,     37.72
 ,       59,    0.29,     26.60,    24.55,     40.18,     5.00,    20.47,     37.50
 ,       60,    0.29,     26.53,    24.29,     40.37,     5.00,    20.47,     37.22
 ,       61,    0.30,     26.45,    24.04,     40.56,     5.01,    20.50,     36.94
 ,       62,    0.30,     26.36,    23.79,     40.70,     5.01,    20.50,     36.68
 ,       63,    0.31,     26.28,    23.56,     40.91,     5.02,    20.50,     36.35
 ,       64,    0.32,     26.21,    23.35,     41.10,     5.03,    20.53,     36.05
 ,       65,    0.32,     26.13,    23.11,     41.26,     5.01,    20.53,     35.69
 ,       66,    0.33,     26.06,    22.87,     41.46,     5.03,    20.52,     35.36
 ,       67,    0.33,     25.99,    22.68,     41.67,     5.04,    20.52,     35.01
 ,       68,    0.34,     25.90,    22.49,     41.86,     5.06,    20.52,     34.59
 ,       69,    0.34,     25.87,    22.29,     42.02,     5.06,    20.50,     34.24
 ,       70,    0.35,     25.78,    22.12,     42.23,     5.07,    20.50,     33.84
 ,       71,    0.35,     25.73,    21.96,     42.42,     5.08,    20.48,     33.40
 ,       72,    0.35,     25.67,    21.78,     42.60,     5.07,    20.44,     33.02
 ,       73,    0.36,     25.64,    21.64,     42.76,     5.10,    20.44,     32.59
 ,       74,    0.36,     25.60,    21.47,     42.95,     5.09,    20.40,     32.19
 ,       75,    0.37,     25.55,    21.32,     43.09,     5.09,    20.39,     31.74
 ,       76,    0.38,     25.51,    21.17,     43.26,     5.09,    20.38,     31.29
 ,       77,    0.38,     25.48,    21.04,     43.39,     5.10,    20.37,     30.87
 ,       78,    0.39,     25.44,    20.90,     43.54,     5.07,    20.34,     30.41
 ,       79,    0.39,     25.40,    20.79,     43.67,     5.09,    20.33,     29.99
 ,       80,    0.40,     25.36,    20.64,     43.79,     5.08,    20.30,     29.54
 ,       81,    0.40,     25.33,    20.48,     43.93,     5.08,    20.27,     29.07
 ,       82,    0.41,     25.29,    20.38,     44.03,     5.10,    20.26,     28.65
 ,       83,    0.41,     25.24,    20.26,     44.14,     5.07,    20.23,     28.18
 ,       84,    0.42,     25.21,    20.15,     44.24,     5.07,    20.20,     27.74
 ,       85,    0.42,     25.15,    20.02,     44.32,     5.06,    20.18,     27.30
 ,       86,    0.42,     25.12,    19.95,     44.41,     5.04,    20.16,     26.86
 ,       87,    0.43,     25.09,    19.84,     44.48,     5.03,    20.15,     26.42
 ,       88,    0.44,     25.05,    19.77,     44.56,     5.01,    20.12,     25.95
 ,       89,    0.44,     25.03,    19.70,     44.62,     5.01,    20.10,     25.53
 ,       90,    0.45,     24.99,    19.62,     44.67,     5.00,    20.07,     25.07
 ,       91,    0.45,     24.98,    19.56,     44.73,     4.99,    20.02,     24.63
 ,       92,    0.46,     24.97,    19.50,     44.77,     4.99,    19.99,     24.21
 ,       93,    0.46,     24.95,    19.45,     44.81,     4.99,    19.97,     23.78
 ,       94,    0.47,     24.94,    19.41,     44.83,     4.97,    19.95,     23.35
 ,       95,    0.47,     24.92,    19.38,     44.83,     4.96,    19.92,     22.91
 ,       96,    0.48,     24.92,    19.33,     44.84,     4.94,    19.91,     22.49
 ,       97,    0.48,     24.91,    19.32,     44.84,     4.93,    19.87,     22.10
 ,       98,    0.48,     24.91,    19.29,     44.82,     4.91,    19.84,     21.67
 ,       99,    0.49,     24.93,    19.28,     44.78,     4.91,    19.82,     21.28
 ,      100,    0.50,     24.93,    19.29,     44.75,     4.88,    19.78,     20.88
 ,      101,    0.50,     24.96,    19.27,     44.70,     4.88,    19.75,     20.48
 ,      102,    0.51,     24.96,    19.30,     44.65,     4.88,    19.73,     20.10
 ,      103,    0.51,     24.96,    19.29,     44.59,     4.88,    19.72,     19.71
 ,      104,    0.52,     24.98,    19.31,     44.53,     4.85,    19.70,     19.36
 ,      105,    0.52,     25.01,    19.31,     44.43,     4.85,    19.68,     18.98
 ,      106,    0.53,     25.00,    19.33,     44.36,     4.83,    19.67,     18.60
 ,      107,    0.53,     25.02,    19.39,     44.25,     4.84,    19.64,     18.29
 ,      108,    0.54,     25.04,    19.42,     44.14,     4.82,    19.60,     17.91
 ,      109,    0.54,     25.06,    19.44,     44.04,     4.80,    19.57,     17.60
 ,      110,    0.55,     25.10,    19.49,     43.92,     4.81,    19.52,     17.25
 ,      111,    0.55,     25.10,    19.54,     43.81,     4.80,    19.49,     16.94
 ,      112,    0.56,     25.14,    19.62,     43.68,     4.80,    19.47,     16.62
 ,      113,    0.56,     25.16,    19.68,     43.52,     4.78,    19.43,     16.33
 ,      114,    0.57,     25.19,    19.74,     43.38,     4.78,    19.39,     16.02
 ,      115,    0.57,     25.21,    19.83,     43.22,     4.78,    19.35,     15.74
 ,      116,    0.58,     25.24,    19.90,     43.05,     4.77,    19.31,     15.46
 ,      117,    0.58,     25.28,    19.98,     42.89,     4.77,    19.28,     15.21
 ,      118,    0.58,     25.29,    20.08,     42.72,     4.77,    19.28,     14.93
 ,      119,    0.59,     25.34,    20.19,     42.54,     4.75,    19.24,     14.69
 ,      120,    0.59,     25.36,    20.28,     42.37,     4.76,    19.21,     14.45
 ,      121,    0.60,     25.40,    20.39,     42.18,     4.75,    19.16,     14.23
 ,      122,    0.60,     25.43,    20.48,     41.99,     4.74,    19.14,     14.02
 ,      123,    0.61,     25.47,    20.59,     41.80,     4.75,    19.10,     13.81
 ,      124,    0.61,     25.52,    20.72,     41.62,     4.74,    19.07,     13.61
 ,      125,    0.62,     25.56,    20.84,     41.43,     4.74,    19.07,     13.42
 ,      126,    0.63,     25.60,    20.94,     41.23,     4.73,    19.03,     13.24
 ,      127,    0.63,     25.66,    21.07,     41.05,     4.72,    18.99,     13.07
 ,      128,    0.64,     25.69,    21.20,     40.87,     4.70,    18.98,     12.91
 ,      129,    0.64,     25.75,    21.34,     40.68,     4.71,    18.94,     12.76
 ,      130,    0.65,     25.79,    21.46,     40.50,     4.69,    18.89,     12.60
 ,      131,    0.65,     25.84,    21.59,     40.34,     4.68,    18.87,     12.49
 ,      132,    0.66,     25.89,    21.72,     40.17,     4.68,    18.86,     12.35
 ,      133,    0.66,     25.94,    21.85,     40.01,     4.68,    18.83,     12.27
 ,      134,    0.67,     25.99,    21.98,     39.87,     4.65,    18.77,     12.14
 ,      135,    0.67,     26.02,    22.09,     39.72,     4.67,    18.76,     12.06
 ,      136,    0.68,     26.07,    22.22,     39.59,     4.65,    18.73,     11.96
 ,      137,    0.68,     26.11,    22.32,     39.49,     4.66,    18.70,     11.89
 ,      138,    0.69,     26.17,    22.41,     39.39,     4.65,    18.66,     11.84
 ,      139,    0.69,     26.20,    22.50,     39.32,     4.65,    18.63,     11.77
 ,      140,    0.70,     26.23,    22.56,     39.24,     4.64,    18.61,     11.71
 ,      141,    0.70,     26.27,    22.65,     39.19,     4.64,    18.57,     11.67
 ,      142,    0.70,     26.30,    22.68,     39.14,     4.62,    18.54,     11.63
 ,      143,    0.71,     26.32,    22.74,     39.12,     4.62,    18.51,     11.60
 ,      144,    0.71,     26.34,    22.76,     39.11,     4.61,    18.49,     11.59
 ,      145,    0.72,     26.35,    22.77,     39.13,     4.60,    18.44,     11.56
 ,      146,    0.72,     26.37,    22.80,     39.15,     4.59,    18.43,     11.56
 ,      147,    0.73,     26.36,    22.76,     39.20,     4.58,    18.40,     11.57
 ,      148,    0.73,     26.36,    22.75,     39.27,     4.57,    18.37,     11.58
 ,      149,    0.74,     26.37,    22.75,     39.35,     4.56,    18.33,     11.61
 ,      150,    0.75,     26.34,    22.68,     39.46,     4.54,    18.29,     11.61
 ,      151,    0.75,     26.32,    22.65,     39.57,     4.53,    18.27,     11.65
 ,      152,    0.76,     26.32,    22.58,     39.68,     4.54,    18.23,     11.68
 ,      153,    0.76,     26.29,    22.52,     39.82,     4.53,    18.20,     11.73
 ,      154,    0.77,     26.27,    22.46,     39.99,     4.51,    18.19,     11.81
 ,      155,    0.77,     26.23,    22.39,     40.16,     4.48,    18.15,     11.87
 ,      156,    0.78,     26.22,    22.31,     40.34,     4.46,    18.12,     11.94
 ,      157,    0.78,     26.20,    22.23,     40.54,     4.44,    18.09,     12.03
 ,      158,    0.79,     26.16,    22.13,     40.76,     4.43,    18.07,     12.11
 ,      159,    0.79,     26.13,    22.06,     40.97,     4.42,    18.02,     12.23
 ,      160,    0.80,     26.11,    21.99,     41.20,     4.41,    18.02,     12.33
 ,      161,    0.80,     26.08,    21.91,     41.43,     4.40,    18.00,     12.47
 ,      162,    0.81,     26.06,    21.83,     41.67,     4.36,    17.98,     12.58
