製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,
計測時ID ,12 ,
計測開始時刻 ,00/00/00 00:08 ,
サンプリング周波数 ,1000 ,
シーケンス数 ,     20000 ,
PGAゲイン ,x12 ,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,
コメント , ,
ファイル保存形式, 演算データ,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z 
         1,   0.0000,   0.7647,   0.0193,  -1.3045
         2,  -0.0251,   0.9190,   0.0578,  -1.1760
         3,   0.0122,   0.9061,   0.0578,  -1.1375
         4,   0.0267,   0.9061,   0.0578,  -1.1632
         5,   0.0929,   0.9061,   0.0321,  -1.1632
         6,   0.1654,   0.9061,   0.0321,  -1.1503
         7,   0.1573,   0.8933,   0.0193,  -1.1503
         8,   0.1557,   0.9061,   0.0193,  -1.1246
         9,   0.1181,   0.8933,   0.0321,  -1.1246
        10,  -0.0015,   0.8804,   0.0193,  -1.1375
        11,  -0.1834,   0.8676,   0.0193,  -1.1118
        12,  -0.2342,   0.8804,   0.0193,  -1.1246
        13,  -0.0743,   0.8804,   0.0064,  -1.1246
        14,  -0.0177,   0.8933,   0.0064,  -1.1118
        15,  -0.0094,   0.8933,   0.0064,  -1.1118
        16,  -0.0198,   0.8804,   0.0064,  -1.0860
        17,  -0.0662,   0.8804,   0.0064,  -1.1118
        18,  -0.0979,   0.9061,   0.0064,  -1.0603
        19,   0.0779,   0.8804,   0.0064,  -1.0732
        20,   0.1242,   0.8804,  -0.0064,  -1.0860
        21,   0.0876,   0.8804,   0.0064,  -1.0989
        22,   0.0360,   0.8804,  -0.0064,  -1.0989
        23,  -0.0913,   0.8804,  -0.0064,  -1.0989
        24,  -0.0999,   0.8547,  -0.0064,  -1.0732
        25,  -0.0363,   0.8547,  -0.0064,  -1.0989
        26,  -0.0100,   0.8547,  -0.0064,  -1.0732
        27,   0.0382,   0.8547,   0.0064,  -1.0989
        28,  -0.0593,   0.8418,   0.0064,  -1.0860
        29,  -0.0098,   0.8290,   0.0064,  -1.1118
        30,   0.0655,   0.8290,  -0.0064,  -1.1118
        31,   0.0936,   0.8290,   0.0064,  -1.1118
        32,   0.0840,   0.8033,   0.0064,  -1.0860
        33,   0.0319,   0.8161,  -0.0064,  -1.0860
        34,   0.0502,   0.7776,   0.0064,  -1.0860
        35,   0.1039,   0.7647,   0.0064,  -1.0989
        36,   0.1031,   0.7519,   0.0064,  -1.0860
        37,   0.0650,   0.7262,   0.0193,  -1.0732
        38,   0.0177,   0.7005,   0.0064,  -1.0989
        39,   0.0581,   0.6876,   0.0193,  -1.0860
        40,  -0.0097,   0.6619,   0.0193,  -1.0732
        41,  -0.0320,   0.6491,   0.0450,  -1.0860
        42,   0.0167,   0.6105,   0.0321,  -1.0603
        43,   0.0633,   0.5848,   0.0321,  -1.0860
        44,   0.1340,   0.5591,   0.0321,  -1.0732
        45,   0.1180,   0.5462,   0.0321,  -1.0732
        46,   0.0490,   0.5205,   0.0321,  -1.0732
        47,   0.0299,   0.4948,   0.0321,  -1.0603
        48,  -0.0311,   0.4691,   0.0193,  -1.0346
        49,  -0.0827,   0.4563,   0.0450,  -1.0475
        50,  -0.2133,   0.4306,   0.0578,  -1.0475
        51,  -0.2052,   0.3920,   0.0578,  -1.0475
        52,  -0.2383,   0.3663,   0.0450,  -1.0346
        53,  -0.1092,   0.3406,   0.0578,  -1.0218
        54,  -0.0076,   0.3277,   0.0578,  -1.0346
        55,  -0.0007,   0.3020,   0.0450,  -1.0346
        56,   0.0409,   0.2763,   0.0578,  -1.0346
        57,   0.0757,   0.2635,   0.0707,  -1.0218
        58,   0.0605,   0.2378,   0.0450,  -1.0218
        59,   0.0519,   0.2121,   0.0578,  -1.0346
        60,   0.0629,   0.2121,   0.0578,  -1.0218
        61,   0.0759,   0.2121,   0.0578,  -1.0346
        62,   0.0853,   0.1992,   0.0707,  -1.0089
        63,   0.1184,   0.1864,   0.0450,  -1.0218
        64,   0.1325,   0.1864,   0.0707,  -1.0218
        65,   0.0505,   0.1607,   0.0707,  -1.0346
        66,   0.0054,   0.1478,   0.0707,  -1.0218
        67,   0.0116,   0.1478,   0.0707,  -1.0089
        68,   0.0393,   0.1607,   0.0835,  -1.0218
        69,  -0.0313,   0.1735,   0.0835,  -1.0475
        70,  -0.2197,   0.1735,   0.0835,  -1.0475
        71,  -0.0953,   0.1607,   0.0835,  -1.0475
        72,   0.0457,   0.1607,   0.0835,  -1.0475
        73,   0.1066,   0.1607,   0.0964,  -1.0218
        74,   0.0801,   0.1735,   0.0964,  -1.0475
        75,   0.0940,   0.2121,   0.0964,  -1.0603
        76,   0.0792,   0.2121,   0.1092,  -1.0603
        77,   0.0054,   0.2378,   0.0964,  -1.0732
        78,   0.0543,   0.2763,   0.1092,  -1.0603
        79,  -0.0676,   0.2763,   0.1221,  -1.0860
        80,  -0.2572,   0.2892,   0.1221,  -1.0603
        81,  -0.1975,   0.3149,   0.1350,  -1.0860
        82,  -0.1162,   0.3406,   0.1350,  -1.0989
        83,  -0.0874,   0.3792,   0.1478,  -1.1375
        84,  -0.0324,   0.3920,   0.1478,  -1.1246
        85,  -0.0438,   0.4306,   0.1607,  -1.1503
        86,   0.0182,   0.4563,   0.1607,  -1.1375
